ImageID,GroundTruth,Prediction,CER,WER
AHTD3A0318_Para2_1,وظاهر أنه كان # عالماً بأحوال الهند وشواطئ أفريقية الشرقية، ولعله,وظاهر أنه كان # عالماً بأحوال الهند وشواطئ أفريقية الشرقية، ولعله,0.0,0.0
AHTD3A0706_Para2_6,التي اصابتها عبر التاريخ,التي اصابتها عبر التاريخ,0.0,0.0
AHTD3A0669_Para2_2,إرتفاعاً ملحوظاً في معدلات درجه كوكب الأرض كانت نتيجتها,إرتفاعاً ملحوظاً في معدلات درجه كوكب الأرض كانت نتيجتها,0.0,0.0
AHTD3A0784_Para2_6,بين الخطين في القرن العشرين ،,بين الخطين في القرن العشرين ،,0.0,0.0
AHTD3A0058_Para3_1,بهذا الأسلوب أقام المعهد في الأشهر الأخيرة من عام الفين وثمانية دورات في,بهذا الأسلوب أقام المعهد في الأشهر الأخيرة من عام الفين وثمانية دورات في,0.0,0.0
AHTD3A1160_Para2_1,تستطيع أن ترفع من درجة تعامل الانسان مع ما يحيط به في الكون.,تستطيع أن ترفع من درجة تعامل الانسان مع ما يحيط به في الكون.,0.0,0.0
AHTD3A0498_Para2_1,والظاهر إن البوادي كانت منازل طيبة للثعابين . وقد تذمر الأسرائيليون من,والظاهر إن البوادي كانت منازل طيبة للثعابين . وقد تذمر الأسرائيليون من,0.0,0.0
AHTD3A0985_Para2_3,حالات ريعية، تحولت ، بالتدريج إلى قوى حقيقية للجمود . هذا بالإضافة,حالات ريعية، تحولت ، بالتدريج إلى قوى حقيقية للجمود . هذا بالإضافة,0.0,0.0
AHTD3A0697_Para3_2,لأن الكوارث الطبيعية باتت من أهم الأخطار التي تواجه الحياة على سطح,لأن الكوارث الطبيعية باتت من أهم الأخطار التي تواجه الحياة على سطح,0.0,0.0
AHTD3A0884_Para2_2,ما يتعلق باستخدام الأسمدة العضوية في # الأنتاج الزراعي ، و,ما يتعلق باستخدام الأسمدة العضوية في # الأنتاج الزراعي ، و,0.0,0.0
AHTD3A0697_Para2_5,الملايين من الأشجار وتفشي الأوبئة والأمراض,الملايين من الأشجار وتفشي الأوبئة والأمراض,0.0,0.0
AHTD3A0742_Para3_1,يعتبر إهداراً لهذه المادة الثمينة التي يمكن أن يستخرج منها العديد من المنتجات,يعتبر إهداراً لهذه المادة الثمينة التي يمكن أن يستخرج منها العديد من المنتجات,0.0,0.0
AHTD3A0457_Para3_4,إن هذه الأنهار وأمثالها التي يشير إليها المؤلفون اليونان والرومان،,إن هذه الأنهار وأمثالها التي يشير إليها المؤلفون اليونان والرومان،,0.0,0.0
AHTD3A0318_Para2_2,كان تاجرا من التجار الذين كانوا يطرفون في هذه الأنحاء للاتجار، ولم,كان تاجرا من التجار الذين كانوا يطرفون في هذه الأنحاء للاتجار، ولم,0.0,0.0
AHTD3A0615_Para2_1,ان التزايد المستمر في استهلاك الطاقة والذي يؤدي إلى ارتفاع في تركيزات,ان التزايد المستمر في استهلاك الطاقة والذي يؤدي إلى ارتفاع في تركيزات,0.0,0.0
AHTD3A0632_Para2_2,مختلفة مثل الكبريت والنيتروجين والرحاص وغيرها علاوة على غاز ثنائي,مختلفة مثل الكبريت والنيتروجين والرحاص وغيرها علاوة على غاز ثنائي,0.0,0.0
AHTD3A0880_Para2_5,آثار الجفاف.,آثار الجفاف.,0.0,0.0
AHTD3A0760_Para2_1,طاقة الرياح : حيث يتم تحويل الرياح الى طاقة كهربائية,طاقة الرياح : حيث يتم تحويل الرياح الى طاقة كهربائية,0.0,0.0
AHTD3A0987_Para3_3,على القطاع الفلاحي ، الذي يبقى بدوره رهينا بالتقلبات المناخية . أما بخصو ص,على القطاع الفلاحي ، الذي يبقى بدوره رهينا بالتقلبات المناخية . أما بخصو ص,0.0,0.0
AHTD3A0733_Para2_4,تدعى اللاجئين البيئيين مما يضيف أعباء إضافية على,تدعى اللاجئين البيئيين مما يضيف أعباء إضافية على,0.0,0.0
AHTD3A0501_Para3_1,أما الكروم، فقد غرست في مناطق من الجزيرة اشتهرت وعرفت,أما الكروم، فقد غرست في مناطق من الجزيرة اشتهرت وعرفت,0.0,0.0
AHTD3A0769_Para3_2,تلويثاً للبيئة وأسهلها استعمالاً. وهناك مصادر طبيعية أخرى للطاقة يمكن,تلويثاً للبيئة وأسهلها استعمالاً. وهناك مصادر طبيعية أخرى للطاقة يمكن,0.0,0.0
AHTD3A1128_Para3_1,ولم تمنع النزعة الأخوية بين رؤساء نقابات الحرف أن يكون فيها درجات متفاوتة في,ولم تمنع النزعة الأخوية بين رؤساء نقابات الحرف أن يكون فيها درجات متفاوتة في,0.0,0.0
AHTD3A0471_Para2_2,على عدن عدد من الأودية الجافة يظهر أنها كانت مسايل مياه، وأنها من,على عدن عدد من الأودية الجافة يظهر أنها كانت مسايل مياه، وأنها من,0.0,0.0
AHTD3A0778_Para2_2,بعد جيل ، ويشمل الفنون القولية مثل الحكاية الشعبية ، والأغاني الشعبية ،,بعد جيل ، ويشمل الفنون القولية مثل الحكاية الشعبية ، والأغاني الشعبية ،,0.0,0.0
AHTD3A0808_Para2_4,الخمس التي تتكون منها الطلعة,الخمس التي تتكون منها الطلعة,0.0,0.0
AHTD3A0619_Para3_5,أوكسيد الكربون إلى الجو.,أوكسيد الكربون إلى الجو.,0.0,0.0
AHTD3A0442_Para2_6,"""الربع الخالي"" # لخلوها من الناس.","""الربع الخالي"" # لخلوها من الناس.",0.0,0.0
AHTD3A0708_Para2_4,درجة الحرارة في مواسم # الشتاء خلال الربع قرن الأخير إرتفعت بمعدل,درجة الحرارة في مواسم # الشتاء خلال الربع قرن الأخير إرتفعت بمعدل,0.0,0.0
