GroundTruth,Prediction
چې طائرصېب څنګه دغه د غم نه ډک خبر د دنيا ګوټ,چې طائر صېب څنګه دغه د غم نه ډک خبر د دنيا ګوټ
السلام ددې نه خبر شو ـ نو ډېر خفه شو اوئې فرمائيل,السلام ددې نه خېر شو ـ نو ډېر خفه شو او ئې فرمائيل
د چينو نه راووځي د وينو دارې,د چينو نه راوځي د وينو دارې
فطرت په شان نشي تخليقولے. نو په دغې وجې ترې د فن نيمګړتيا,فطرت شان نشي تعليقولے نو په دې وجې ترې د فن نيمګړتيا
سوات هم جدا کړے شو او دغلته کمشنري نظام راغے ـ  په اول دَ,سوات هم جدا کړے شو او د غلته کمشري نظام راغےـ په اول دَ
ده ـ ګويا خوبونه ښه او بد دواړه اړخه لري,زه لويا خوبونه ښه او بد دواړه اړخه دي
پښتو ټپې چې اوس تر ډېره حده د قلم د څوکې لاندې,پښتو ټپې چې اوس تر ډېره حده د قلم د څوکی لاندې
او دَ تاڼې کلي دَ خاور ګاډي خټ يې پرې رااونړولو ـ  وخت تېرېدو,او دَ تاڼې کلي دَ خاورګاډي خټ يې پرې رااونړولو ـ وخت تېرېدو
يو ښۀ استاذ ؤ ـ د طائر صېب باره کښې,يو ښۀ استاذ ؤـ د طائر صېب پاره کښې
د دغې مال زياته حصه به په تلونکو راتلونکو خرڅ کېدله. د دۀ,دغې مال زياته حصه به په لونکو راتلونکو خرڅ کېدله د دۀ
دومره پوره ، ښکلے او موزون دے,دومره پوره ښکلے اؤ موزون دے
استعمالوي۔ صاحب شاه صابر هم دغه ورځ ژاړي او خپل,استعمالوی، صحب شاه صابر هم دغه ورځ ژاړي او خپل
كښې د علامه عبدالحۍ حبيبی او ځينې نورو,كښې د علامه عبدالحۍ صبي او ځينې نورو
پراتۀ دي کوم چې ما راغونډ کړي او ترتيب کړي دي,پراته دي کوم چې ما راغوندې کړې او ترتيب کړی دي
منصور سر ظاهر وو پۀ سولۍ,منصور سر ظاهر وو پۀ سولۍ و
هغه که څوک د وخت بادشا دے، که فقير دے,هغه که څوک د وخت بارثا دے، له فقير دے
چانسلر ؤ ليکلې وه ـ او طائر صېب پرې هم خپله سريزه,چا نسلر ؤ ليکلې وه ـ او طائر صېب پرې هم خپله سريزه
شعرونه دلته وړاندې کولے شي,شعرونه دلته وړاندې کولے شي
موضوعي حُسن متعلق هم څۀ واضحه تصور نۀ لري.,موضوعي حُسن متعلق هم څۀ واضحه تصور نۀ لري.
دا زۀ ستا په زرزري سترګو کښې ښکارم,دا زه ستا په زرزرې سترګو کښې ښکارم
طريقه چڼ كړې ده هغه د لائبريری تحقيق طريقه ده. د,طريقه چڼ كړې ده. هغه د لابريری تحقيقی طريقه ده. د
نجيب الله د خوشحال با با هغه زوئے دے ـ  چې خوشحال,نحسب الله خوشحال بابا هغه زوئے دے چې خوشحال
تۀ مې ليليٰ هم مې دلبر ئې,ته مې ليلي ي هم دلبه ئې
وجه د سبک تعريف اشکال لري او بايد يو جامع تعريف په نظر کښې,وجه د مسبک تعريف اشکال لري او بايد يو جامع تعريف په نظر کښې
دغه شان د اکېډمۍ له خوا په چاپ شوى فهرستى،,دغه شان د اكېډمۍ له خوا په چاپ شوی فهوستی،
لنډاکي ، نوي کلي او کوټه وغېره کښې ورسره سختې مقابلې,لنداکي، نوي کلي او کوټه وغېره كښې ورسره مختې مقابلې
چې د جمات پشان دې در کښې بې پېزاره نۀ ځم,چې د جماعت پشان دې در کښې بې پېزاره نۀ ځم
داټوله نړۍ کښې  په عظيم طاقت بللے شي,داټولے نړۍ کښې په عظيم طاقت بلالے شي
مدير وټاکلے شوم نو ما د ځان دپاره دا,مدير وټاکلے شوم نو ما د ځان دپاره دا
چې يو ځل چې په خوشحال خان د مثانې درد راغلے وو ـ,چې يو ځل چې په خوشحال خان د مثانې درد راغلے وو
که يو رنګ ئې د دلدار دے,که يو رنګ ئې دَ دلدار دے
ما په مبهمه خطره کښې ساتي,ما په مبهمه خطره کښې ساتي
دواميت سره مخ کړې ده. اومونږ ښه پۀ ډاډه زړۀ,دواميت سره مخ کړې ده. او مونږ ښه پۀ ډاډه زړۀ
په بې شمېره اندامونو,په بې شمېره اندامونو
بغېر د خدايه غلامي نۀ کړو د چا وطنه,بغېر د خدايا غلامې نۀ کړو دَ چا وطنه
اظهار وغېره يې پرې کاؤه. د دغه ماهرينو پۀ خيال,اظهار وغېره يې پرې کاؤه ـ د دغه ماهر يو پۀ خيال
هغوي جرګه د شته وحدت د نېلامۍ کوله,هغوي جرګه د شته وحدت د نېلامۍ کوله
کښې هېڅ شک نشته چې هغه يو الهامي شاعر دے، د رحمان بابا,کښې هېڅ شک نشته چې هغه يو الهامي شاعر دے د رحمان بابا
پرېږده,پرېږده
الله ورکړې مېلمستياده,الله ورکړې مېلمتيا ده
"د خزانه تلميحات مؤلف د اياز پېژندګلو څۀ په دا ډول كوي: ""د سلطان","د خزانه تلميحات مؤلف د اياز پېژندګلو څۀ په دا ډول کوي:""د سلطان"
اوس ئې وئيلې چا ته نۀ شي د پښتو له وجې,اوس ئې وئيلې چاته نۀ شي د پښتنو له وجې
راشه ما ستا د ملازو تاله تاوان راوړې,راشاما ستا د ملازو تاله تاوان ړاوړي
دالست بربکم او دقالوا بلى وعدې ته څومره پۀ عجيبه انداز,دالست بربکم او د قالوا بلې وعدې ته څومره په عجيبه انداز کښې
انکار دې وو شېرينې له اقراره زبردست,انګار دي وو شيرنې له اقرار زبردست
ادبي تله په لاس کښې نيولي ده.او د هر شاعر،اديب,ادبي تله په لاس کښې نيولې ده. او د هر شاعره اديب
شکر دے دا چې مې باڼۀ نۀ سوزي,شکر دے دا چې مې بانۀ نۀ سوزي
د حالا تو پوهېدو نه بغير داسې خوب بيانؤل چې ګني اوس,د حالا تو پوهېدو نه بغېر داسې خوب بيانول چې ګنې اوس
"شريک د رنځ شه ـ  ښه خدمت ئے وکړ  ""بارے ملک باز د ميا خان په اخلاص","شريک د رنځ شه ـ ښه خدمت ئے وکړ ""بارے ملک باز د ميا خان په اخلاص"
دَ عبدالله جان عابد ددې دعوې تائيد دَ خداے بخښلي افضل رضا ددې قول نه هم کيږي,د عبدالله جان عابد د دې د عوې تائيد دَ خدائ بخښلي افضل رضا د دې قول نه هم کيېږي
لکه بيخي تازه کلۍ د انار,لکه بيخي تازه کلۍ د انار
خان راسره وو ـ او د دوئ ميندے، تيراه وته,خان راسره وو ـ او د دوئ ميندے، تيراه وته
ماهيئت په حقله بحث موندلے شي ـ او ددې نه پس په,ماهيئت په حقله بحث موندلے شي ـ او ددې نه پس په
قُلْ هَلْ یَسْتَوِیْ الَّذِیْنَ یَعْلَمُونَ وَالَّذِیْنَ لَا یَعْلَمُونَ,قُلْ فَْ ْیَْوْیْ الَذِیْنَْعْلمُْنْ َاَلَِينْ لا َغلمون
د اکېډمۍ له خوا په ١٩٧١ء کښې په جدون,د اكېډمۍ له خوا په ١٩١ء کښې په جدون
خو دې تکه توره شپه کښې,خو دې تکه توره شپه کښې
متلونه د پښتو ژبې يوه اهمه ادبي او معاشرتي پنګه ده,متلونه دا پښتو ژبې يوه اهمه ادبي او معاشرتي پنګه ده د
شول ـ بيا ددغه خلقو تقسيم اوشو او په دې,شول بيا د دغه خلقو تقسيم اوشو او په دې
خوشحال خان خټك د قصيدو، غزلو، رباعيانو، او,خوشحال خان خټك د قصيرو، غزلو، رباعيانو، او
"او په ""سندريز الهام"" کښې ئې هم ځنې داسې","او په سندريز الهام"" کښې ئې هم ځنې داسې"
دجال د کذاب او دروغژن مسيح لقب دے.چې په اخره زمانه کښې به,د جال د کذاب او دروغژن مسيح لقب دے چې پۀ اخره زمانه کښې به
اولور رازونه شريک دىچې څومره خلې هومره خبرې.,او لور رازونه شريک دی چې څومره خلې هومره خبرې
شمعې! وژل دې مناسب نه ګڼم,شمې! وژل وي مناسب نه کڼم
ښکلي چمنونه دي,ښکلي چمنونه دي
