ImageID,Label,Notes,CER,GroundTruth,Prediction,ImagePath,Timestamp,Reviewer
AHTD3A0614_Para2_4,Wrong transcription,,73.0,#,ومن الواصع ايضاً أن شدة إلإشعاعات الشعسية الواصلة الى الأرض تمتلف باختلاف,../data/../data/khatt_prepared_cropped/train/AHTD3A0614_Para2_4.png,2025-12-13T12:16:23,Sana
AHTD3A0842_Para2_5,Wrong transcription,,5.3,أدكسفورد .,الانترنت لكنه على الأقل يمكن أن يتخذ موقفاً جول قدسية فاصلة,../data/../data/khatt_prepared_cropped/train/AHTD3A0842_Para2_5.png,2025-12-13T12:16:31,Sana
AHTD3A0901_Para3_5,Wrong transcription,,3.941176470588236,المناهج  الدراسية,هذه الكليات المذكورة أعلاه تتبخ جميع أنظمة الجامعات التابعة لدها، فيا خه، تتدربس,../data/../data/khatt_prepared_cropped/train/AHTD3A0901_Para3_5.png,2025-12-13T12:16:34,Sana
AHTD3A0424_Para2_5,Wrong transcription,,1.1666666666666667,العرب،,يث ) حض,../data/../data/khatt_prepared_cropped/train/AHTD3A0424_Para2_5.png,2025-12-13T12:16:36,Sana
AHTD3A0295_Para3_4,Wrong transcription,,1.15,طهور نهاية لدور ومبدأً لتاريخ دور ونهاية,"ايام عيمت بدد العاهلية""ع) وبدايةً "" عنهو العرف ب115 إسلاه",../data/../data/khatt_prepared_cropped/train/AHTD3A0295_Para3_4.png,2025-12-13T12:16:42,Sana
AHTD3A0570_Para2_1,Wrong transcription,,1.0,التصحر هو مصطلح إعلامي مبهم وذو دلالات متعددة . وقد دخل,وبجمع هذا رنتوم كميات جغرة منا العل الذي فتهر يفو ائده الطيه في صاظقه,../data/../data/khatt_prepared_cropped/train/AHTD3A0570_Para2_1.png,2025-12-13T12:16:45,Sana
AHTD3A0757_Para3_2,Wrong transcription,,0.98,في الطبيعة و متجددة باستمرار ما دامت الحياة قائمة.,وباستغط##الطقة المجدية يمكننا الإستفادة  الطلقاتة غير المتجد دقية,../data/../data/khatt_prepared_cropped/train/AHTD3A0757_Para3_2.png,2025-12-13T12:16:47,Sana
AHTD3A0757_Para3_1,Segmentation error,,0.9342105263157896,مصادر الطاقة المتجددة: و هي عبارة عن مصادر طبيعية دائمة و غير ناضجة و متوفرة,أت   م,../data/../data/khatt_prepared_cropped/train/AHTD3A0757_Para3_1.png,2025-12-13T12:16:57,Sana
AHTD3A0555_Para2_6,Wrong transcription,,0.9302325581395348,الاقتصادية والاجتماعية و الثقافية متباينة .,التمالية، حيث الطمعة مختلفة عف طببعه بلاده وحيت الطروي,../data/../data/khatt_prepared_cropped/train/AHTD3A0555_Para2_6.png,2025-12-13T12:17:01,Sana
AHTD3A0555_Para2_4,Wrong transcription,,0.918032786885246,وحده مدة في مجتمع غربي مثل إنكلترة أو اسكاند ينافيه أو أمريكا,أو اسكاند يقافية أو أميوكا الشمالية ، حيث الطبيعة مختلفة عين لطبععة,../data/../data/khatt_prepared_cropped/train/AHTD3A0555_Para2_4.png,2025-12-13T12:17:03,Sana
AHTD3A1056_Para3_1,Wrong transcription,,0.9090909090909092,###########,#,../data/../data/khatt_prepared_cropped/train/AHTD3A1056_Para3_1.png,2025-12-13T12:17:13,Sana
AHTD3A0757_Para3_4,Wrong transcription,,0.90625,الصناعات البتروكيماوية الهامة بدلا من حرقها كوقود و هدرها وإذبات,لنفطوم اف,../data/../data/khatt_prepared_cropped/train/AHTD3A0757_Para3_4.png,2025-12-13T12:17:16,Sana
AHTD3A0424_Para2_4,Wrong transcription,,0.9047619047619048,الانجليزي المستعرب عدة كتب بالانكليزيه وصف فيها أسفارها في بلاد,أنفا في الطج . هل تعلم فائدة الكلكات # التالية لهذا خزص: مسمس، دراققاعيظ، ناء،,../data/../data/khatt_prepared_cropped/train/AHTD3A0424_Para2_4.png,2025-12-13T12:17:18,Sana
AHTD3A0556_Para3_3,Wrong transcription,,0.9032258064516128,الصفر، حيث تقوم تلك الغازات بإمتصاص جرء من الأشعة تحت الحمَراء,من الأشصة كت العمراء التي تنبعيث من سطع الأرص كانعك من للانشرقة الباقطة على,../data/../data/khatt_prepared_cropped/train/AHTD3A0556_Para3_3.png,2025-12-13T12:17:20,Sana
AHTD3A0862_Para3_6,Wrong transcription,,0.8974358974358975,3.80      1.85         7.03       124.2,091001.1#19,../data/../data/khatt_prepared_cropped/train/AHTD3A0862_Para3_6.png,2025-12-13T12:17:24,Sana
AHTD3A0424_Para2_2,Wrong transcription,,0.8850574712643678,"الخالي"" فكشف بذلك بقعة من أكبر البقاع المجهولة في بلاد العرب .  ويضارعه في مخاطراته هذه",إلى أخيليي. علدوصولناطفا وسعينا مع شيح كان جاري في الخيمة يتكلم وهونائمر بلمات لا أقهها مثل أنقضا,../data/../data/khatt_prepared_cropped/train/AHTD3A0424_Para2_2.png,2025-12-13T12:17:27,Sana
AHTD3A0614_Para2_5,Wrong transcription,,0.8767123287671232,ومن الواضح ايضاً ان شدة الإشعاعات الشمسية الواصلة إلى الأرض تختلف بإختلاف,ارقفاه الشعمس,../data/../data/khatt_prepared_cropped/train/AHTD3A0614_Para2_5.png,2025-12-13T12:17:30,Sana
AHTD3A0424_Para2_3,Wrong transcription,,0.8507462686567164,"فلبي الذي أسلم # فأطلق على نفسه ""الحاج عبد الله فلبي""  وقد ألّف هذا",بغلس له للصابط لرمتك . سألق راححهل بلغ أصجابنا طعك ،ث ح حن، ب س يث ، صع #,../data/../data/khatt_prepared_cropped/train/AHTD3A0424_Para2_3.png,2025-12-13T12:17:35,Sana
AHTD3A0424_Para2_1,Wrong transcription,,0.85,"الشاب الانكليزي المستشرق الذي استطاع في شباط سنه 1929 م إن يخترق لأول مرة ""الربع",نهب نوح مظفر ضر غام بصحبه رؤوق بن لؤي رايقظا فر عطعوط وهلال خازن خيف لحج برأت ة وافلكبيع اج,../data/../data/khatt_prepared_cropped/train/AHTD3A0424_Para2_1.png,2025-12-13T12:17:38,Sana
AHTD3A0570_Para3_1,Wrong transcription,,0.8235294117647058,وآثار طبيعة واجتماعية - إقتصادية مثل إزالة  الغابات ، وتدهور المراعي,أما قدجدى عت هاتردهم الغلين ويصيح عداالامراد كيرا ميت رعمل الغللات,../data/../data/khatt_prepared_cropped/train/AHTD3A0570_Para3_1.png,2025-12-13T12:17:44,Sana
AHTD3A0901_Para3_4,Wrong transcription,,0.8072289156626506,هذه ا لكليات المذكورة أعلاه  تتبغ جميع أنظمة الجامعات  التابعة لها، فيما يخص بتدريس,ضوابط وقوانين فيما يختص بعملية الالتعاق بهذه الكليات والرسوم الدرانسية . وان وج تلف,../data/../data/khatt_prepared_cropped/train/AHTD3A0901_Para3_4.png,2025-12-13T12:17:45,Sana
AHTD3A0555_Para2_5,Wrong transcription,,0.8070175438596491,الشمالية ، حيث الطبيعة مختلفة عن طبيعة بلاده و حيث الظرون,بلاده وحيث الظروف الاقتصادية والاجتماعية والثقافية متباينه،,../data/../data/khatt_prepared_cropped/train/AHTD3A0555_Para2_5.png,2025-12-13T12:17:47,Sana
AHTD3A0683_Para3_3,Wrong transcription,,0.7974683544303798,الاعاصير والفيضانات والجفاف والتصحر. حذر التقرير الرابع للهيئه الحكوميه الدوليه,المعنيه يتغير المناخ والذي أعدته الوكاله الاوربيد لليئل والمكتب الاوروي لمنظه ه الصحة العلمية,../data/../data/khatt_prepared_cropped/train/AHTD3A0683_Para3_3.png,2025-12-13T12:17:50,Sana
AHTD3A0570_Para2_2,Wrong transcription,,0.7878787878787878,هذا المصطلح حيز  الاستخدام  الشائع منذ  انعقاد مؤتمر الأمم المتحده,نواحدة وحيشة وهي الهمدروماليقي وتايلاتد وإترونيا.,../data/../data/khatt_prepared_cropped/train/AHTD3A0570_Para2_2.png,2025-12-13T12:17:52,Sana
AHTD3A0555_Para2_3,Wrong transcription,,0.7868852459016393,نحه العربي الأصيل الذي لا شك ولا شبهة في أصله العربي إذا اقام,ولاشبهة في أصله العرمي، إذا قام وحده مدة في مجتمع غربي مثل : تللترية,../data/../data/khatt_prepared_cropped/train/AHTD3A0555_Para2_3.png,2025-12-13T12:17:53,Sana
AHTD3A0295_Para3_5,Wrong transcription,,0.78,"ايام عرفت ب ""الحاهلية""، وبداية عهد عرف ب ""الإسلام""",مار ال عائماً مستمراً وسيتهر إلى ماشاء القه.,../data/../data/khatt_prepared_cropped/train/AHTD3A0295_Para3_5.png,2025-12-13T12:17:54,Sana
AHTD3A0901_Para3_2,Wrong transcription,,0.7763157894736842,يدفعون نفس رسوم الطلبة  الأجانب. وقد قامت مؤخرا المحكمة  الهندية العليا بوضع,حتى ولو ناوا يحملون الجنسيق الحهندية ولكتحم لايسكنون في جمعغورية الهر دانيا:,../data/../data/khatt_prepared_cropped/train/AHTD3A0901_Para3_2.png,2025-12-13T12:18:01,Sana
AHTD3A0873_Para3_3,Wrong transcription,,0.7741935483870968,حيوية  كبيرة  مهددة  بالتصحر . وستساعد الاتفاقية ، عن طريق حفز,أفريقيا لتجنب آثار تدهور الأراضي . وتاوي المنطقة منظومات جغرافيه,../data/../data/khatt_prepared_cropped/train/AHTD3A0873_Para3_3.png,2025-12-13T12:18:10,Sana
AHTD3A0223_Para2_4,Wrong transcription,,0.7681159420289855,صفات  حميدة  لأنها من فضائل  الأخلاق ، فآثارها تابعه لها  في  الحكم .,دفاعا عن الحق ، وإزهاقا للباطل حال كونه نابعاعن الشجاءه، فهذه,../data/../data/khatt_prepared_cropped/train/AHTD3A0223_Para2_4.png,2025-12-13T12:18:17,Sana
AHTD3A0757_Para3_3,Wrong transcription,,0.7631578947368421,و باستغلال مصادر الطاقة المتجددة يمكننا الإستفادة من الطاقات غير المتجددة في,الصباعاي اليتر #يماوية الهامة بدل من حرقها كوقود وهدرها وإذجات,../data/../data/khatt_prepared_cropped/train/AHTD3A0757_Para3_3.png,2025-12-13T12:18:50,Sana
AHTD3A0873_Para3_4,Wrong transcription,,0.75,بلدان شمال  أفريقيا على  استكمال البرامج  الوطنية ، وبلدان  اتحاد المغرب,حيوية كبيرة مهددة بالتصحر. وستساعد الاتفاقية ، عن طريق حفر,../data/../data/khatt_prepared_cropped/train/AHTD3A0873_Para3_4.png,2025-12-13T12:18:59,Sana
AHTD3A0901_Para3_3,Wrong transcription,,0.7317073170731707,ضوابط  وقوانين فيما يختص بعملية الالتحاق بهذه الكليات والرسوم الدراسية . وان مختلف,يد فعون نفس زسوم الطلبة الأجانب . وقد قامت مؤخخاً المحكمة الدهيديد العلا بوضع,../data/../data/khatt_prepared_cropped/train/AHTD3A0901_Para3_3.png,2025-12-13T12:19:00,Sana
AHTD3A0851_Para2_3,Wrong transcription,,0.7272727272727273,التربة من المياه والعناصر الغذائية . وعند توفير هذا الدعم والعناصر,طبيعيه وعلى هذا الأساس بين فكرة الزراعة لدون ترية,../data/../data/khatt_prepared_cropped/train/AHTD3A0851_Para2_3.png,2025-12-13T12:19:03,Sana
AHTD3A0555_Para3_4,Wrong transcription,,0.7166666666666667,الشخص وعلى قابليته وعلى مدة اقامته # في المكان. ولو أقام ذلك,ولوأقام ذلك العربي طيلة حياته كلها في ذلك الوطن الجديدا,../data/../data/khatt_prepared_cropped/train/AHTD3A0555_Para3_4.png,2025-12-13T12:19:14,Sana
AHTD3A0570_Para3_2,Wrong transcription,,0.7121212121212122,واستنفاذ  الأراضي المزروعة، وملوحة الأراضي المروية ، وتعرية التربة,واكارجيعة وجتماعية. إقتصادية حثل إزالة الغابات ، وتدهور المواعى,../data/../data/khatt_prepared_cropped/train/AHTD3A0570_Para3_2.png,2025-12-13T12:19:17,Sana
AHTD3A0873_Para3_5,Wrong transcription,,0.6909090909090909,العربي  على استكمال  برنامجها ، في  إحداث  تغيرات جذرية,بلدان شمال أفريقيه على استكمال البرامج الوطنية ، وبلدان اتحاد المغري,../data/../data/khatt_prepared_cropped/train/AHTD3A0873_Para3_5.png,2025-12-13T12:19:18,Sana
AHTD3A0757_Para2_1,Wrong transcription,,0.6714285714285714,و على المستوى العربي فقد شهدت احتياطيات الغاز الطبيعي في الدول العربية,ع ع عه لبه  ال جبه ي ل العلعية,../data/../data/khatt_prepared_cropped/train/AHTD3A0757_Para2_1.png,2025-12-13T12:19:23,Sana
AHTD3A0479_Para2_6,Valid but hard,,0.6666666666666666,نجران.,مجر ف,../data/../data/khatt_prepared_cropped/train/AHTD3A0479_Para2_6.png,2025-12-13T12:19:28,Sana
AHTD3A0847_Para3_1,Valid but hard,,0.6666666666666666,ـ##,#,../data/../data/khatt_prepared_cropped/train/AHTD3A0847_Para3_1.png,2025-12-13T12:19:37,Sana
AHTD3A0613_Para3_5,Wrong transcription,,0.5769230769230769,بإمتصاص للإشعة الشمسية. إذ تقوم السطوح السوداء اللون,بإمتصاص امل للأشقة الشمسية بميما الحسطوح فاتحة اللوننسة علية,../data/../data/khatt_prepared_cropped/train/AHTD3A0613_Para3_5.png,2025-12-13T12:19:49,Sana
AHTD3A0769_Para2_5,Valid but hard,,0.55,بـ 1× 10 16 قدم مكعب,و11515 قدمم مكمه,../data/../data/khatt_prepared_cropped/train/AHTD3A0769_Para2_5.png,2025-12-13T12:19:56,Sana
