ImageID,GroundTruth,Prediction,CER,WER
06889,ماہرین کی توجہ کا مرکز بنا ہوا ہے۔,ماہرین کی توجہ کا مرکز بنا ہوا ہے۔,0.0,0.0
06394,وہ تاحیات ایک اجنبی اور غیر مانوس مختصر شے اپنے اندر,وہ تاحیات ایک اجنبی اور غیر مانوس مختصر شے اپنے اندر,0.0,0.0
09893,وہ ان کی ثقافت کے مطابق ہوتی ہیں۔,وہ ان کی ثقافت کے مطابق ہوتی ہیں۔,0.0,0.0
09234,اور جوتوں کی قیمتیں سن کر اس کے ہوش اڑ جاتے ہیں,اور جوتوں کی قیمتیں سن کر اس کے ہوش اڑ جاتے ہیں,0.0,0.0
02058,صرف اسلامی انقلاب ہے جس کے کارکنان صرف اسلامی انقلاب,صرف اسلامی انقلاب ہے جس کے کارکنان صرف اسلامی انقلاب,0.0,0.0
10553,سے بڑھا کر پانچ ارب ڈالر تک لے جانے پر اکتفا کیا ہے۔ اسکے,سے بڑھا کر پانچ ارب ڈالر تک لے جانے پر اکتفا کیا ہے۔ اسکے,0.0,0.0
00364,بدلتے رہتے ہیں۔ ایک وقت کے مخالف دوسرے وقت میں,بدلتے رہتے ہیں۔ ایک وقت کے مخالف دوسرے وقت میں,0.0,0.0
08242,تقویت ملتی ہے اور اس سے انسان کے اندر,تقویت ملتی ہے اور اس سے انسان کے اندر,0.0,0.0
01623,بوجھ بن چکا ہے۔ بہرحال، پارٹی اشرافیہ کو سرمایہ داروں سے,بوجھ بن چکا ہے۔ بہرحال، پارٹی اشرافیہ کو سرمایہ داروں سے,0.0,0.0
10294,ہی نہیں لے رہی۔ بیشتر ملیں گندم کی قیمت میں,ہی نہیں لے رہی۔ بیشتر ملیں گندم کی قیمت میں,0.0,0.0
00310,ہمارے سورس کی ان سے بلوچی زبان میں کوئی بات,ہمارے سورس کی ان سے بلوچی زبان میں کوئی بات,0.0,0.0
05246,ساتھ بیٹری بھی موجود ہے۔ لیمپ عمدہ پولی میر مادے سے,ساتھ بیٹری بھی موجود ہے۔ لیمپ عمدہ پولی میر مادے سے,0.0,0.0
04193,کہا یہ سن کے گلہری نے منہ سنبھال ذرا,کہا یہ سن کے گلہری نے منہ سنبھال ذرا,0.0,0.0
07071,فیاضی کے ساتھ بندوں کو ان کے نیک کاموں,فیاضی کے ساتھ بندوں کو ان کے نیک کاموں,0.0,0.0
07902,کے مقابلے میں اپنی خاتون دوست کے ساتھ نائٹ آؤٹ,کے مقابلے میں اپنی خاتون دوست کے ساتھ نائٹ آؤٹ,0.0,0.0
00176,تحصیلدار کے سامنے منظور قادر جیسا چوٹی کا وکیل کھڑا ہے۔,تحصیلدار کے سامنے منظور قادر جیسا چوٹی کا وکیل کھڑا ہے۔,0.0,0.0
08072,قیامت پر ایمان لاتے ہیں اور نماز پڑھتے,قیامت پر ایمان لاتے ہیں اور نماز پڑھتے,0.0,0.0
01564,پتہ ہی نہیں چلنے دیتے کہ پاکستانی دن رات محنت,پتہ ہی نہیں چلنے دیتے کہ پاکستانی دن رات محنت,0.0,0.0
02740,میں طے ہونے والے معاملات کو ایرانی وزیر خارجہ کے,میں طے ہونے والے معاملات کو ایرانی وزیر خارجہ کے,0.0,0.0
08601,جھوٹے اور بے بنیاد الزامات کو عدالت میں ثابت کیا,جھوٹے اور بے بنیاد الزامات کو عدالت میں ثابت کیا,0.0,0.0
06818,بنائی جائے گی اور سال میں دو مرتبہ اس بل پر,بنائی جائے گی اور سال میں دو مرتبہ اس بل پر,0.0,0.0
00865,واقعات نے پارٹی کے بہت سے کارکنوں کے اعصاب توڑ,واقعات نے پارٹی کے بہت سے کارکنوں کے اعصاب توڑ,0.0,0.0
06703,میں بسنے والے تمام لوگوں کی زندگیوں کو موت کا خطرہ,میں بسنے والے تمام لوگوں کی زندگیوں کو موت کا خطرہ,0.0,0.0
09854,حالت میں استعمال کی جا سکتی ہے۔,حالت میں استعمال کی جا سکتی ہے۔,0.0,0.0
04287,پٹ بند ہو جاتے ہیں۔ چھوٹی سرکار دستک دیتا ہے۔,پٹ بند ہو جاتے ہیں۔ چھوٹی سرکار دستک دیتا ہے۔,0.0,0.0
05779,کہانی میں رنگ بھرے جائیں گے۔ پنجاب حکومت نے ایک حکمنامہ,کہانی میں رنگ بھرے جائیں گے۔ پنجاب حکومت نے ایک حکمنامہ,0.0,0.0
00170,اور غلطیوں کے باوجود بھارت پاکستان کو اپنے منصوبے اور عزم کے مطابق,اور غلطیوں کے باوجود بھارت پاکستان کو اپنے منصوبے اور عزم کے مطابق,0.0,0.0
09800,مختص کر دینے سے ہی ثابت ہو جاتا ہے کہ,مختص کر دینے سے ہی ثابت ہو جاتا ہے کہ,0.0,0.0
08687,ہوتا تو ہم رمضان المبارک کے آخری عشرے میں اپنے,ہوتا تو ہم رمضان المبارک کے آخری عشرے میں اپنے,0.0,0.0
03626,بھٹساوے نے اس پر نگاہوں ہی نگاہوں میں صادر,بھٹساوے نے اس پر نگاہوں ہی نگاہوں میں صادر,0.0,0.0
02255,جانیوالی اس تھیوری میں کہا گیا ہے کہ حال ہی میں,جانیوالی اس تھیوری میں کہا گیا ہے کہ حال ہی میں,0.0,0.0
02493,ہے۔ کے کے ایف کے تحت میڈیکل ایڈ کمیٹی کے ڈاکٹر,ہے۔ کے کے ایف کے تحت میڈیکل ایڈ کمیٹی کے ڈاکٹر,0.0,0.0
09628,جب ان ڈائریکٹ ٹیکس میں کمی آئے گی تو ضرورت,جب ان ڈائریکٹ ٹیکس میں کمی آئے گی تو ضرورت,0.0,0.0
03551,زیب سے سو سو طرح اس میں جو شاخ اور شانہ تھا,زیب سے سو سو طرح اس میں جو شاخ اور شانہ تھا,0.0,0.0
01471,تو کر سکتے ہیں کہ وہ ریاست کے وسائل کو تقسیم,تو کر سکتے ہیں کہ وہ ریاست کے وسائل کو تقسیم,0.0,0.0
01944,بعد مطمئن ہونے کی بجائے یہ طبقہ ایک بار پھر عدم,بعد مطمئن ہونے کی بجائے یہ طبقہ ایک بار پھر عدم,0.0,0.0
06826,کا معمول کا عمل نہیں ہے اور یہ کہنے میں ذرہ,کا معمول کا عمل نہیں ہے اور یہ کہنے میں ذرہ,0.0,0.0
10558,معالجہ کے بنیادی اخراجات پورے ہو سکتے ہیں۔,معالجہ کے بنیادی اخراجات پورے ہو سکتے ہیں۔,0.0,0.0
03333,خان ترین اور عبدل علی درانی شامل تھے۔ اس موقع,خان ترین اور عبدل علی درانی شامل تھے۔ اس موقع,0.0,0.0
09993,کی آمدنی میں سے اخراجات کرنے کے بعد بچ جانے والی رقم کو,کی آمدنی میں سے اخراجات کرنے کے بعد بچ جانے والی رقم کو,0.0,0.0
04859,جاؤ کرنے تلاش جس کا گھر,جاؤ کرنے تلاش جس کا گھر,0.0,0.0
03290,میں کوئی گڑبڑ محسوس ہوتی ہے تو ہم اس پر خود اقدامات اٹھاتے ہیں,میں کوئی گڑبڑ محسوس ہوتی ہے تو ہم اس پر خود اقدامات اٹھاتے ہیں,0.0,0.0
02499,یا کسی قبائلی علاقے سے اٹھ کر اپنے لشکر کے,یا کسی قبائلی علاقے سے اٹھ کر اپنے لشکر کے,0.0,0.0
07877,خطے میں خزانہ و بینکاری کے شعبے میں قریبی تعاون,خطے میں خزانہ و بینکاری کے شعبے میں قریبی تعاون,0.0,0.0
04913,میں سے مومن کا دل و دماغ اور جسم گزر رہا تھا۔ اس سے,میں سے مومن کا دل و دماغ اور جسم گزر رہا تھا۔ اس سے,0.0,0.0
09909,ہو رہی تھی اور عروج تک پہنچ گئی تھی اور مسلسل نہ صرف,ہو رہی تھی اور عروج تک پہنچ گئی تھی اور مسلسل نہ صرف,0.0,0.0
08683,حلال اور جائز کرنا چاہتے ہیں اور اس کی,حلال اور جائز کرنا چاہتے ہیں اور اس کی,0.0,0.0
02526,بعض قصبوں کو جوڑنے کے لیے ریلوے لائن بالکل تیار,بعض قصبوں کو جوڑنے کے لیے ریلوے لائن بالکل تیار,0.0,0.0
00428,حوالے بھی دیتے رہے کہ انہوں نے بھی ماضی میں پی سی,حوالے بھی دیتے رہے کہ انہوں نے بھی ماضی میں پی سی,0.0,0.0
02108,کا حصہ سمجھتے ہیں تو انہوں نے کہا کہ وہ سب,کا حصہ سمجھتے ہیں تو انہوں نے کہا کہ وہ سب,0.0,0.0
08420,میں سے سب سے پہلی منزل ہے جو,میں سے سب سے پہلی منزل ہے جو,0.0,0.0
05225,کے مواد اور ویب سائٹ کو روکنے اور بنیادی انسانی اخلاقیات کی حفاظت کے,کے مواد اور ویب سائٹ کو روکنے اور بنیادی انسانی اخلاقیات کی حفاظت کے,0.0,0.0
00214,جو جیتا وہی سکندر۔ کئی دن سے یہ حال ہے,جو جیتا وہی سکندر۔ کئی دن سے یہ حال ہے,0.0,0.0
04897,ناگاہ اک شقی کی لگی سینہ پر سناں,ناگاہ اک شقی کی لگی سینہ پر سناں,0.0,0.0
01416,سارا احترام اور شائستگی ماضی کے لوگوں کے لیے ہے اور وہ,سارا احترام اور شائستگی ماضی کے لوگوں کے لیے ہے اور وہ,0.0,0.0
