GroundTruth,Prediction
چې طائرصېب څنګه دغه د غم نه ډک خبر د دنيا ګوټ,چې طائر صېب څنګه دغه د غم نه ډک خبر د دنيا ګوټ
السلام ددې نه خبر شو ـ نو ډېر خفه شو اوئې فرمائيل,السلام ددې نه خبر شو ـ نو ډېر خفه شو او ئې فرمائيل
د چينو نه راووځي د وينو دارې,د چينو نه راوځي د وينو دارې
فطرت په شان نشي تخليقولے. نو په دغې وجې ترې د فن نيمګړتيا,فطرت شان نشي تليقولے. نو په دغې وجې ترې د فن نيمګړتيا
سوات هم جدا کړے شو او دغلته کمشنري نظام راغے ـ  په اول دَ,سوات هم جدا کړے شو او د غلته کمشري نظام راغے ـ  په اول دَ
ده ـ ګويا خوبونه ښه او بد دواړه اړخه لري,ګويا خوبونه ښه او بد دواړه اړخه دي
پښتو ټپې چې اوس تر ډېره حده د قلم د څوکې لاندې,پښتو ټپې چې اوس تر ډېره حده د قلم د څوکۍ لاندې
او دَ تاڼې کلي دَ خاور ګاډي خټ يې پرې رااونړولو ـ  وخت تېرېدو,او دَ تاڼې کلي دَ خاور ګاډي خټ يې پرې رااونړولو ـ  وخت تېرېدو
يو ښۀ استاذ ؤ ـ د طائر صېب باره کښې,يو ښۀ استاذ ؤ ـ د طائر صېب باره کښې
د دغې مال زياته حصه به په تلونکو راتلونکو خرڅ کېدله. د دۀ,دغې مال زياته حصه به په لونکو راتلونکو خرڅ کېدله د دۀ
دومره پوره ، ښکلے او موزون دے,دومره پوره ښکلے او موزون دے
استعمالوي۔ صاحب شاه صابر هم دغه ورځ ژاړي او خپل,استعمالويـ صاحب شاه صابر هم دغه ورځ ژاړي او خپل
كښې د علامه عبدالحۍ حبيبی او ځينې نورو,كښې د علامه عبدالحۍ حبي او ځينې نورو
پراتۀ دي کوم چې ما راغونډ کړي او ترتيب کړي دي,پراتۀ دي کوم چې ما راغوڼډې کړې او ترتيب کړي دي
منصور سر ظاهر وو پۀ سولۍ,منصور سر ظاهر وو پۀ سولۍ و
هغه که څوک د وخت بادشا دے، که فقير دے,هغه که څوک د وخت بادشا دے، که فقير دے
چانسلر ؤ ليکلې وه ـ او طائر صېب پرې هم خپله سريزه,چانسلرؤ ليکلې وه ـ  او طائر صېب پرې هم خپله سريزه
شعرونه دلته وړاندې کولے شي,شعرونه دلته وړاندې کولے شي
موضوعي حُسن متعلق هم څۀ واضحه تصور نۀ لري.,موضوعي حُسن متعلق هم څۀ واضحه تصور نۀ لري.
دا زۀ ستا په زرزري سترګو کښې ښکارم,دا زۀ ستا په زرزري سترګو کښې ښکارم
طريقه چڼ كړې ده هغه د لائبريری تحقيق طريقه ده. د,طريقه چڼ كړې ده هغه د لابريری تحقيق طريقه ده. د
نجيب الله د خوشحال با با هغه زوئے دے ـ  چې خوشحال,نجسب الله د خوشحال بابا هغه زوئے دے ـ چې خوشحال
تۀ مې ليليٰ هم مې دلبر ئې,ته مې ليلي ي هم دلبه ئې
وجه د سبک تعريف اشکال لري او بايد يو جامع تعريف په نظر کښې,وجه د مسبک تعريف اشکال لري او بايد يو جامع تعريف په نظر کښې
دغه شان د اکېډمۍ له خوا په چاپ شوى فهرستى،,دغه شان د اكېډمۍ له خوا په چاپ شوی فهوستی،
لنډاکي ، نوي کلي او کوټه وغېره کښې ورسره سختې مقابلې,لنډاکي، نوي کلي او کوټه وغېره کښې ورسره سختې مقابلې
چې د جمات پشان دې در کښې بې پېزاره نۀ ځم,چې د جماعت پشان دې در کښې بې پيزاره نۀ ځم
داټوله نړۍ کښې  په عظيم طاقت بللے شي,دا ټولے نړۍ کښې په عظيم طاقت بلالے شي
مدير وټاکلے شوم نو ما د ځان دپاره دا,مدير وټاکلے شوم نو ما د ځان دپاره دا
چې يو ځل چې په خوشحال خان د مثانې درد راغلے وو ـ,چې يو ځل چې په خوشحال خان د مثانې درد راغلے وو
که يو رنګ ئې د دلدار دے,که يو رنګ ئې د دلدار دے
ما په مبهمه خطره کښې ساتي,ما په مبهمه خطره کښې ساتي
دواميت سره مخ کړې ده. اومونږ ښه پۀ ډاډه زړۀ,دواميت سره مخ کړې ده. او مونږ ښه پۀ ډاډه زړه
په بې شمېره اندامونو,په بې شمېره اندامونو
بغېر د خدايه غلامي نۀ کړو د چا وطنه,بغېر د خدايا غلامۍ نۀ کړو دَ چا وطنه
اظهار وغېره يې پرې کاؤه. د دغه ماهرينو پۀ خيال,اظهار وغېره يې پرې کاؤه. د دغه ماهرينو پۀ خيال
هغوي جرګه د شته وحدت د نېلامۍ کوله,هغوي جرګه د شته وحدت د نېلامۍ کوله
