GroundTruth,Prediction
أرْزِڧِࢽْمࣸ بِسَاسَعَادَا    کَى ࢽࣸڢِࢽْ کَلْمَرْشَهَادَا,أَرْزِڧِࢽْمࣸ بِسَاسَعَادَا کَيْ ࢽࣸڢِࢽْ کَلْمَرْشَهَادَا
غَتࣸوذࣸوࢽْ ڢࣸطࣸأَزࣸمِي ڢَحَجِّ ࢽَکَوْبِيَتْ    ࢽَشِدَّ ڢَأَلْوَضَّا تَحَيَّرْ مࣸحَمَّدَا,غَتࣸوذࣸوࢽْ ڢࣸطࣸأزࣸمِي ڢَجَجِّ ࢽَکَوْبِيَتْ  حَشِدَّڢَالوَضَّاتَحَيَّرْ مࣸحَمَّدَا
ࢽى,ࢽم
کيواْبَيْغَ ڧَسَࢽْدَزَيْ تَبَابَا,کࣸواْبَيْغَ ڧَسَࢽْدَزَيْ تَبَابَا
وَطَࢽْسࣸ ذࣸڢَايَاکَيْ غَبَاکِي شِࢽَاغࣸدࣸو     ڢَتَيْمࣸسࣸ لزَّامٜيٰ ࢽَصَابࣸࢽْ مࣸحَمَّدَا,وَطَࢽْسࣸ ذࣸڢَايَاکَيْ غَبَاکِي شِࢽَاغࣸدࣸو  ڢَتَيْمࣸسࣸ کِزَّامٜيٰ ࢽَصَابࣸࢽْ مࣸحَمَّدَا
لِمَࢽْ ڢࣸدِرَعَلَيْهِ وࣸنَنْدٜعࣸوْحَنَّتَاطࣽ وَالاِسْلاَمࣸ,لِمَࢽْ لدِ رَعَلَيْهِ وࣸنَنْدٜ عࣽوْحَنّنَاطࣸࣸ وَالاِسْلَامࣸ
يَاىِ کٜىٰوَرْکَࢽْ شِبَرْشِ    حَࢽّࣸ مَىْ لࣸغࣸدٜىٰ دَمَاشِ,يَايِ کٜيٰوَرْکَرْشِبَرْشِ  مَࢽّࣸ مَيْ لࣸغࣸبٰٜ دَمَاشِ
يَايِى بࢽ کࣸوْوَࢽِࢽْسࣸ   سَيْ أکَࢽْ کَاشٜىٰ أَکَيْسࣸ,يَايِي بِ کࣸوْوَࢽِࢽْسࣸ سَيْ أَکَࢽْ کَاشٰٜ أَکَيْسࣸ
عمرࢽ,عمرࢽ
سَىْ ࢽَاسࣸ کَکٜىٰ بِطَادَذَمْبَا,سَيْ ࢽَاسࣸ کَکٜيٰ بِطَادَذَمْبَا
ڢکيڢ يحڢى وجود الله ياعجبا ؞ لجا هد مࢽ ظلام الکڢرت ظلل,ڢکيڢ يجلى وجودالله باعجبا ؞ کاهدمࢽ طلام الکڢر ت طلل
إࢽْبَازࣸرِيَرْدَسࣸࢽْ بَرِيْبَا,إِمْبَازࣸوبَرْدَسࣸࢽْ بَرِيبَا
غࣸومَ طَيْ ࢽٜيٰ ذَاسࣸ ࢽࣸوࢽَا   سَيسࣸ ݒࣸويٜيٰ تَرَرْدَڧَوࢽَا,غࣸومَ طَيْ ࢽٜيٰ ذَاسࣸࢽࣸوࢽَا  سَيْسࣸ بࣸويٜيٰ تَرَرْدَڧَوْࢽَا
سَيْ حِسَابِࢽْ تَارࣸوَࢽْتَا   کࣸوادَڧٰࣸواثٜيٰ کࣸوْادَسَاتَا,سَيْ حِسَايِࢽْ تَارࣸوَࢽْتَا  کࣸوْاْدَڧࣸواْثٜيٰ کࣸوْادَسَاتَا
هَرْثِکِࢽْ رࣸوَࢽٜٜىٰ تَبِيشِ بَىْ هَيٰٜبَ تَمَاڧَرٜىٰشِ,هَرْثِکِࢽْ رࣸوَࢽٜيٰ تَبِيشِ  بَيْ هَبٜيٰبَ تَمَاڧَرٜيٰشِ
٢٢  شِي تَوَاضِعࣸ ࢽبى هَلِࢽْسَ   إِࢽْ يَهَࢽْغَ أَبْࢽَــسَا,٢شِي تَوَاضِڢࣸ ࢽٜيٰ هَلِࢽْسَا  إِࢽْ يَهَࢽْغِ مࣸتْࣸ أَبَمَا
مَکَ کࣸوْاْ مَيْ بَادَشَاوَرَابَا,مَکَ کࣸوْاْمَيْ بَادَشَاوَرَابَا
2,1
کذَا کَ دَاَلْوَضَا دَوَࢽْکَࢽْ جَࢽَابَ دࣸکْ    دَڟَرْکِࢽْ کَرِي دࣸکْ وَاجِبِيࢽَا غَأَحْمَدَا,کَذَاکَ دَاَلْوَضَࢽَادَوَࢽْکَࢽْ جَࢽَابَ دࣸکْ  دَڟَرْکِࢽْ کَرِدࣸکࣸ وَاجِييࢽَاغَأحْمدَا
دࣸࢽْ مَڢِي کَيْاوࣸࢽْ طَبِيعَا    اَلࢽَّبَاوَامَاسࣸ طَاعَا,دࣸࢽْ مَڢِي کَيْاوࣸࢽْ طَبِيڢَا  اَلࢽَّبَاوَامَاسࣸ طَاعَا
عٜسَلْمِنَاڡࣽ وَالسَّلاَمࣸ عٜسَلْمِنْدٜوَسࣸنَنࣸهَا,عٜسَلْمِنَاڡࣸ وَالسَّلامࣸ عٜسَلْمِنْدٜوَسࣸنَنࣸهَا
مَطࣸجࣸولَ جࣸولْدٜعٜغَمْطࣸ مٜيطٜࢽْ برْطࣸڢࣸيْ نذࣸيْطࣸ يٜمْࢽٜ يࣸڢَاتࣸ لاَمْطࣸ مࣸمَايَتَا,مَطࣸجٜولٜ جࣸولْٜعٜفْطࣸ مٜبطٜنْجࣸرْطࣸڢࣸ  طذࣸيْطࣸ بٜمْبِ يࣸڢَاتࣸ لَامْکࣸمࣸࢽَيَتَا
دࣸࢽْ يَسَادࣸدَاَلْجَمَرْکَ    سَىْ يَکَࢽْ جٜىٰ بَابࣸ حَرْکَ,دࣸࢽْ يَسَادࣸدَاَلْجَمَرْکَ  سَيْ يَکَࢽْ جٜيٰ بَابࣸ حَرْکَ
ڧِي دَسࣸࢽْسࣸ أَکَࢽْ شَڧَاوَا   سࣸࢽْ بَثٜيٰ دࣸو،ِࢽْ طَغَاوَا,ڧِي دَسࣸࢽْسࣸ أَکَࢽْ شَڧَاوَا  سࣸࢽْ بَثٜيٰ دࣸومِࢽْ طَغَاوَا
مَاسࣸ جِࢽْيَاࢽَاتَکࣸوکَا غَامࣸتࣸم يَاکَاسَ حَرْکَا,مَاسࣸ جِࢽْيَاࢽَاتَکࣸوکَا  غَامࣸتࣸ يَاکَاسَ حَرْکَا
يࣸوَامَࢽْثِي غِيࢽْ اَدَمْ يَادَذَمْبَا   ذَمْکَجِࢽْڧَࢽْوࣸ کࣸوکࣸسَمْ غࣸوبٜي رِيبَا,يࣸواَمِࢽْثِي غَيِࢽْ أَدَمْ يَادَذَمْبَا   ذَمْکَجِࢽْغَࢽْسࣸ کࣸوکࣸسَمْ غࣸوبٜي رِيبَا
لا رالا يماࢽ تصد يڡ حفيفتى ؞ وفدافى وابلڢظ غير محتمل,لاࢽ لايماࢽ تصديڡ حفيفته ؞ وفدافى وابلڢط غي محخل
دَحَطِࢽْ سَبَبِي دَڧࣸلَّ غَابَا,دَحَطِࢽْ سَبَبِي دَڧࣸلَّ غَابَا
4,4
إِࢽْکࣸࢽْ ڧِي ذَࢽْثٜيٰࢽَا بَکࣸتࣸوبَبَا  مࣸتࣸوَاࢽَذࣸومَکࣸ کࣸوشَادَࢽْدَڧَ,إِࢽْ کࣸࢽْڧِي ذَࢽْثٜيٰࢽَابَکࣸتࣸوبَبَا  مࣸتࣸوَاࢽَذࣸومَکࣸ کࣸوشَادَࢽْدَوَ
إِࢽْتَذࣸوْأَࢽْدَيْࢽَ يَاوࣸواْ طَࢽْ ڢَشِ کࣸواْکࣸواْ بَرَاوࣸواْ,إِࢽْتَذࣸوْأَࢽْدَيْࢽَ يَاوࣸواْ  طَࢽْ ڢَشِ کࣸواْکࣸواْبَرَاوࣸواْ
غَاسِڢَاتَسَࢽَࢽْ دَکَڧَسَ,غَاسڢَاتَسَࢽَࢽْ دَکَڧَسَ
تَمْبَيَاتَاإِࢽْ إِيَايٜيٰ   وَࢽْدَ سࣸࢽْکَ ذَمࣸواْ ࢽَرَايٜيٰ,تَمْبَيَاتَاإِࢽْ إِبَابٜيٰ  وَࢽْدَسࣸࢽْکَ ذَمࣸواْࢽَرَايٜيٰ
أَکَتَاشٜىٰکَ بَادَأࢽْ إِدࣸوبَا,أَکَتَاشٰٜکَ بَادَأَࢽْ إِدࣸوبَا
7,1
الخط وال,ددک اڢ
يَاڟَيَابَوْتَرْإِيَايٜيٰ   غَايَوَࢽْ أَزࣸمِي أَݒࣸواْيٜيٰ,يَاڟَيَابَوْتَرْإِيَايٜيٰ  غَايَوَࢽْ أَزࣸمِي أَبࣸواْيٜيٰ
جِيجِيَاࢽَاکَرْکَڟٜيٰوَا     هَرْڢَرَيْ شِڢٜثٜيٰ دَکࣸرْوَا,جِيجِيَاࢽَاکَرْکَڟٜيٰوَا  هَرْڢَرَيْ شِڢِثٜيٰ دَکࣸرْوَا
رࣸوَࢽْ جَمَعَابَذَيْ غَمٜيٰبَا,رࣸوَࢽْ جَمَعَابَذَي غَمٜيٰبَا
20,1
بَرِبِيَرْ مَاسࣸ سࣸࢽْ سَرَاڟٜيٰ غَتࣸرْبَا   مَاسࣸ کࣸبࣸوڢَّ تࣸࢽْ يَتَثّٜيٰ غَبَبَّا,بَرِييَرْمَاسࣸ سࣸرْسَرَاطٜيٰ غَتࣸرْبَا مَاسࣸ کࣸبࣸوڢَّ تࣸࢽْ يَتَثٜيٰ غَبَبَّا
سَيْ إِࢽْدَرࣸوَابَيَاوࣸثٜيٰبَا,سَىْ لِࢽْدَرࣸوَابَيَاوࣸثٜيٰبَا
تَرْڟَڟِࢽْتَ کَمَرْدࣸوَاڟࣸو    إࢽْ تَوَاڟࣸ سَىْشِوَاڟࣸو,تَرْڟَڟِࢽْتَ کَمَرْدࣸوَاڟࣸو  إِࢽْ تَوَاڟࣸ سَيْ شِوَاڟࣸو
دࣸکْ غࣸمَاکَࢽْ مَالَمَيْࢽٜىٰ    مَالَمَࢽْکࣸ ࢽَذَامَࢽِيࢽٜىٰ,دࣸکْ غࣸمَاکَࢽْ مَالَهَيْࢽٜيٰ  مَالَمَࢽْکࣸ ࢽَذَامَࢽِيࢽٜيٰ
وَاڧَرْ ࢽَاࢽَ طِيَرْ شي,واڧرناࢽ طيشي عثص
إِࢽْ يَبْࢽْيِ يَبࣸوࢽْکَاࢽَاࢽَڟَابَا,إِࢽْببَڧْيِ يَبࣸوࢽْکَ ࢽَاࢽَڟَابَا
کࣽللَبَلْ ࡶَلصَّلاَةࣸحࣸلْدٜڢَرْضࣻ کࣸڢَرِضَّ لاَيࣸفْبَلࣸ ࡼللَّهࣸ,نَکَبَلْ ࡶَلصَّلاةࣸ حࣸلْدٜڢَرْضࣻ کࣽڢَرِضَّ لَايࣸفْبَلࣸ ࡼللَهࣸ
ميْڟَارَاوَاڧَا ࢽَامࣸ إِسْمَعِيلَ ࢽٜي ثَرْيَرْ کࣸڢَاجِ غَرِِࢽْعࣸبَا مَڢَرَا عࣸوَا,مَيْڟَارَاوَاڧَاࢽَامࣸ إِْمَڢِيرَࢽٜيٰ ثَرْبَرْکࣸڢَجِ غَرِغْڢࣸاَمَڢَرَاعࣸوَا
مࣸࢽْجِ کَلْمَاغَمَالَمْ مّࣸوسَىٰ   لِمَامْ کَبࣸو مَالَمْ مَيْ لَاڢِيَا,مࣸࢽْجِ کَمَاغَمَالَمْ مࣸوسَىٰ  لِمَامْ کَبࣸومَالَمْ مَيْ لَاڢِيَا
سَيْوَࢽْدَبَذَاشِ دَوَّمَابَا,سَيْوَࢽْدَبَذَاشِ دَوَّمَابَا
اَللَّهࣸ يَيْ ڟِيرَاغَأَࢽَّبِ أَحْمَدَا؞ دَءالِࢽْسࣸ جِيکࣸوکِࢽسَ سِيدِ مࣸحَمَّدَا,اَللَّهࣸ بَيْ طِيرَاغَلَࢽَّبِ أَحْمَدَا ؞  دَءَالِࢽْࣸ جِيکࣸوکِࢽْسَ سِيدِ مࣸحَمَّدَا
تࣸࢽْ سࣸࢽَا ڟࣸمْمَّاتَبَرْسࣸ   وَسࣸ ࢽَاڧࣸودَاتَکَسࣸࣸ,تࣸࢽْ سࣸࢽَاڟࣸمَّاتَبَرْسࣸ وَسࣸ ࢽَاڧࣸوࣸدَاتَکَسࣸ
غࣸࢽْ کِرَࢽْبَ بَلٜيٰ شِمَࢽْثٜيٰ   سَࢽّࣸ مَيْدَمࣸتࣸمْ بَتَثّٜيٰ,غࣸࢽْ کِرَࢽْبَ بَلٜيٰ شِمَࢽْثٜيٰ  سِࢽّࣸ مَيْدَمࣸتࣸمْ بَتَثّٜيٰمْࢽٜيٰ
شِڟَارٜيٰ غِرْمَࢽْسَ بَابغَابَا,شِرٜيٰ حَرْسَࢽْسَ بَابَعَبَا
إِࢽْبَارَحْمَرْأࣸبَࢽْ غِجِيبَا,إِࢽْبَارَحْمَرْأࣸبَࢽْ غِجِيبَا
بَابࣸ کٰٜوࣸوڢَ دࣸدَّکٰٜوتَادَذࣸوبٜلْي  حَکَࢽَامَاسࣸ ثِࢽْ أَمَاࢽَاغَغࣸوبٜيٰ,بَابࣸ کٜيٰوࣸوڢَ دࣸدَّکٰٜوْتَادَذࣸوبٜلي  حَکَࢽَامَاسࣸ ثِࢽْ أَمَاࢽَاغَغࣸوبٜيٰ
9,1
سَىْ مࣸحَمَّدࣸ دࣸࢽْ کَمَالَى    تَيْ دَذَبَبَّٜىٰࢽْ أَدَالَى,سَيْ مࣸحَمَّدࣸدࣸࢽْ کَمَالَى  تَيْ دَذَابَبّٜيٰࢽْ أَدَالَي
سَيْ وَࢽْدَبَذَاشِ لَاخِرَابَا,سَيْ وَࢽْدَبَذَاشِ لَاخِرَابَا
دمي زࢽا سيمسو ماکاڢريࢽا    ادࢽ بستوب ياذم الࢽصارا,دمي زࢽاسيمسوماکاڢريࢽا  ادࢽ ييتوب ياذم الࢽصارا
سࣸࢽْمَ کَࢽْسࣸ بَڧَرْظَلَامَا   حَرْسࣸثٜيٰ أَحّلِࢽْسࣸ دَامَا,سࣸࢽْمَ کَࢽْسࣸ بَڧَرْظَلَامَا  حَرْسࣸثٜيٰ أَحَلِࢽْسࣸ دَامَا
سَىْ کࣸجٜىٰ غَࢽَبِيّࣸ إبْرَا     هِيمࣸ دࣸࢽْ وَࢽَّࢽْ لَلࣸورَا,سَيْ کࣸجٜيٰ غَࢽَبّࣸيࣸ إِبْرَا هِيمࣸ دࣸࢽْ وَࢽَّࢽْ لَلࣸورَا
ولࢽ يض ک وسواس اللعيࢽ اذا ؞ کى هت ڢلتستعذ بالله وابتحل,ولࢽ يضاک وسواس اللعي اذا ؞ ک هت ڢلستعذبالله وابتل
کࣸࢽٜمِ حَلَال ڢَ کࣸثِي دَکࣸودَعِيَالِࢽْکࣸ دࣸکْ؞   شِيمَاحَدِيشِ ࢽٜيٰ ࢽَتࣸرْبَࢽْ مࣸحَمَّدَا,کࣸࢽْمِ جَلَلْڢَ کࣸثِي دَکࣸودَبَيَالِࢽْکࣸ دࣸکْ ؞  شِيمَاحَدِيشِ ࢽٜيٰ تَتࣸريَࢽْ مࣸحَمَّدَا
سَيْ أَثٜيٰ مَسَ مࣸࢽْ هࣸࢽْکࣸࢽْتَا    سِيدِ مࣸومࣸکَ سَاکَمَࢽْتَا,سَيْ أَثٜيٰ مَسَ مࣸࢽْ مࣸکࣸࢽْتَا  سِيدِمࣸومࣸکَ سَاکَمَࢽْتَا
4,4
وَࢽْدَکٜيٰ أَيّکِ ࢽَݒَرْࢽَا   کࣸواْثِکِࢽْ دَرٜيٰ کࣸواْدَرَاࢽَا,وَࢽْدَکٜيٰ أَيْکِ ࢽَبَرْࢽَا  کࣸواْثِکِࢽْ دَرٜيٰ کࣸواْدَرَاࢽَا
الکِتَابࣸ الْحَاجِ,اَلکِتَابࣸ الْحَاجِ
13,1
بَاکࣸواْڧࣸوࢽَا ࢽَڧࣸرْمࣸسَابَا,بَاکࣸوْاْڧࣸوࢽَاࢽَڧࣸرْمࣸسَابَا
دَکࣸطِي دَتࣸڢَاکَمَرْمَهَرْبَا,دَکࣸطِي دَتࣸڢَاکَمَرْمَهَرْبَا
ذَيْکِرَاسࣸ أمَاسࣸ غَابَا     ࢽٜى دَاَلله مَاسࣸ ذَمْبَا,ذَيْکِرَاسࣸ أَمَاسࣸ غَابَا ࢽٜيٰ دَاَللَهْ مَاسࣸ ذَمْبَا
نࣽکّࣽ کَسࣸوطٜتٜىٰ وَالتَّشَهّࣸدࣸارِعٜتَيَّاجِ طِࢽْ طࣶطࣶ,نࣽکࣸ کَسࣸوطٜتٜىٰ وَالتَّشْهࣸدَاْࢽِعٜتَيَّاجِ طِرْطِطࣶ
واعلم باࢽ طى يو الحڡ واحدة ؞ لا خيرنا غيرها مࢽ ساي السبل,واعلم باࢽ ص يڡ الحڡ واحدة ؞ لاخير نا غي هامࢽ ساي السبل
جْلَيْࢽ عٜلࣸو تࣸدٜ کࣽيْطٜطٜࢽْ ࡹِلَي ࡻلْکَعْبَيْࢽِ,جࣽلَيْࢽِ عٜلࣸوتࣸدٜکَيْطٜطٜࢽْ ࡹِلى ࡻلْکَّعْبَيْࢽِ
بِکَ وَاى غَرِى دَلَاڢِيَابَا,بَکَ وَايِ غَرِيي دَلَاڢِيَابَا
فرامسکات لعواءدوࢽ ماعمد ؞ کمااتىٰ ذاک نع الذب الحکيم تل,فدامسکات لهواردوࢽ ماعد ؞ کااتى ذاک ن الذت للفي شل
کࣸومَيْ سَرَوتَا وَاللَّهْ دࣸکْ بَسࣸبَرْشِبَا   کࣸودَامَرَسْ کࣸومَيْ وَجَࢽْسࣸ مࣸتَاࢽٜيٰ,کࣸومَيْ سَرَوْتَاوَالَّهْ دࣸکْ بَسࣸبرْشِبَا کࣸودَاحَرَسْ کࣸومَيْ وَجَࢽْسࣸ مࣸتَاࢽٜيٰ
بَلّٜيٰ ڢَ بَڧِي دَسَاڧِ   کࣸوْا ࢽَجَسْتَثّٜيٰ غَحَڧِّ,بَلّٜىٰ ڢَ بَڧِي دَسَاڧِ  کࣸوْاࢽَجَسْتَثّىٰ غَحَڧِّ
ذمَاشِࢽ بَتࣸى شِکࣸࢽْ ࢽَاشِࢽ يَکى    دَبَابࣸ عِبَادَاغمِى زِࢽَا,وَمَاشِ بَࢽْمِ شِکَࢽْ ࢽَشِ أَبَکِي دَبَابࣸ عِبَادَاعَمِى زَمِ
تَاشِ إِࢽْدَىْ بَيْىِ لَاڢِيَابَا,تَاشِ إࢽْدَيْ بَيْيِ لَاڢِيَابَا
وَࢽَࢽْ وَاڧَاإِتَثٜيٰ,وَࢽَࢽْ وَاڧَاإِتَثٜيٰ
بَيْثِࢽْ وَطَࢽْࢽَࢽْ غَاڟَࢽَِࢽِࢽْ ڢَرِي   رࣸوَايَکَامٜيٰ بَاذَيْ سَبْکَبَىٰ,بَيْثِࢽْ وَطَࢽْࢽَࢽْ غَاڟَࢽَࢽِࢽْڢَرِي  رࣸوَايَکَامٜيٰ بَاذَيْ سَبْکَبَيٰ
تَࢽْبَيَادَغَرَادَڟࣸوڟَا   سࣸࢽْ إِسَيْ بَازَاشِمࣸواْڟَا,تَࢽْبَيَادَغَرَادَڟࣸوڟَا سࣸࢽْ إِسَيْ بَازَاشِمࣸواْڟَا
ࢽَاغَبر ىشِ کࣸسَࢽْتَ غَايَا  مَى جِدَالِى دࣸوب ءَايَا,ࢽَاغَبٜرٜيٰشِ کࣸسَࢽْتَ غَابَا  مَيْ جِدَالِي دࣸوبِ ءَايَا
حَرْيَسَارَيْࢽَىْ شِتَاشِ    سَىْ مࣸتࣸمْ کَغَ يَاثِ بَاشِ,حَرْيَسَارَيْࢽَىْ شِتَاشِ  سَيْ مࣸتࣸمْ کَغَ يَاثِ بَاشِ
رباࢽوا,ات
بَيْ ذَابِي حࣸشِي دَسࣸࢽْ ڢَطَابَا,بَيْ ذَاݒِي حࣸشِي دَسࣸࢽْ ڢَطَابَا
اماالفليل وتکثي له مدد ؞ حدث ولاحى ج عࢽ خيرة الى سل,اما الفلبل وتکثي لمدد ؞ حدت ولاح جم عࢽ خيرة الى سل
