ImageID,Label,Notes,CER,GroundTruth,Prediction,ImagePath,Timestamp,Reviewer
Infiraji_9.pdf_page_21_line_016,Script mismatch (non-Arabic),,1.0,19,وا,../data/ajami-prepared-no-partial-leak/train/Infiraji_9.pdf_page_21_line_016.png,2025-12-24T17:55:05,Sana
Warning_Gargaɗi_Infiraji_2.pdf_page_17_line_019,Orientation error,+ segmentation error,0.8333333333333334,غࣸسَوْ,زثو,../data/ajami-prepared-no-partial-leak/train/Warning_Gargaɗi_Infiraji_2.pdf_page_17_line_019.png,2025-12-24T17:56:01,Sana
Infiraji_7.pdf_page_16_line_018,Orientation error,+ segmentation error,0.8333333333333334,غࣸسَوْ,غ,../data/ajami-prepared-no-partial-leak/train/Infiraji_7.pdf_page_16_line_018.png,2025-12-24T17:56:12,Sana
Infiraji_6.pdf_page_23_line_020,Irrelevant / non-text,,0.6666666666666666,nan,a,../data/ajami-prepared-no-partial-leak/train/Infiraji_6.pdf_page_23_line_020.png,2025-12-24T17:56:27,Sana
Infiraji_6.pdf_page_23_line_019,Irrelevant / non-text,,0.6666666666666666,nan,a,../data/ajami-prepared-no-partial-leak/train/Infiraji_6.pdf_page_23_line_019.png,2025-12-24T17:56:33,Sana
Infiraji_9.pdf_page_22_line_015,Script mismatch (non-Arabic),,0.5,20,0,../data/ajami-prepared-no-partial-leak/train/Infiraji_9.pdf_page_22_line_015.png,2025-12-24T17:57:25,Sana
Infiraji_3.pdf_page_22_line_011,Wrong transcription,بِحَمْدِاللهِ وَالصَلَاةࣸ والسََّلام,0.4444444444444444,بِحَمْدِاللهِ وَالصَلَاةࣸ و,بِحَࢽِدِ اللهِ وَالصَلَاةࣸ وَاشَلَامࣸ,../data/ajami-prepared-no-partial-leak/train/Infiraji_3.pdf_page_22_line_011.png,2025-12-24T18:31:19,Sana
Nana_Asmāʾu_Admonition_Nana_Asmāʾu_Waazi.pdf_page_2_line_006,Wrong transcription,سࣸوࢽْ ڢَڧࣸرْءَاࢽࣸ أڢَّسࣸوࢽْ جَلَّ سَرْکِي حَرْمَأَيْکِ رِڧٜي تࣸتࣸتْ کࣸلّࣸ يَوْمِ,0.3934426229508196,سࣸوࢽْ ڢَڧࣸرْءَاࢽࣸ أڢَّسࣸوࢽْ سَرْکِي رِڧٜي تࣸتࣸتْ کࣸلّࣸ يَوْمِ,سࣸوࢽْ ڢَڧࣸرْءَاࢽࣸ أَڢَّسࣸوࢽْ جَلَّ سَرْکِي  حَرْمَأَيْکِرِرِڧٜيٰ تࣸتࣸتْ کࣸلّࣸيَوْمِ,../data/ajami-prepared-no-partial-leak/train/Nana_Asmāʾu_Admonition_Nana_Asmāʾu_Waazi.pdf_page_2_line_006.png,2025-12-24T18:34:13,Sana
Infiraji_9.pdf_page_20_line_015,Script mismatch (non-Arabic),,0.5,18,19,../data/ajami-prepared-no-partial-leak/test/Infiraji_9.pdf_page_20_line_015.png,2025-12-24T18:37:07,Sana
Infiraji_5.pdf_page_17_line_017,Script mismatch (non-Arabic),,1.5,15,د9ا,../data/ajami-prepared-no-partial-leak/val/Infiraji_5.pdf_page_17_line_017.png,2025-12-24T18:38:24,Sana
