GroundTruth,Prediction
لبنان في ١٧/١٠/١٩٦٠,لبنان ير ١١١/٠/٩٣
من نحوكم ونخبركي على اخر الشهر مرادي اعمل عمليه,من نحوكم ولخبركي على اخر الشهر مرادي اعمل عمليه
الى عني الثانيه وادعو لنا بالنجاح واخبرني عن اخوالك لأن,الى عني الثانيه وادعو لنا بالنجاح واخبرني عن اخوال لآذ
لم ارسلو لنا تحارير وانا مشغول فكري فيهم لأن تعرفي,رسلولنا تحاري وانا مشغول فكري منهم لأن تعرفي
الزعل ما يواتيني منشان عيوني خليهم خالك شار يبعتني,الزعلى ما يو اننني متشان عيوني خليهم خالل شار يبعثى
لي كتاب لأن انا كاتبتو وهوا ما جاوبني والاردد بريد دكي,كتاب لأن انا لنا يثبو دهوا ما جاديني والاددد لريد دكير
السلام ويرجو جوابكم على هذا المكتوب لحتى نعرف اذا وصل,السلام دسر رحو جوابكم على هذا المكنوب لحتى نعرو اذ وحل
واصل ي سلامي الى اولادك واخواتك كل واحد باسمه وكل من,واهلي سوامي الى اولادك راخواتك كل داحد باسمه وكر من
يسائل عنا,يساتل عنا
المرسلي لكي خالةي,المرسلم لكير خاليتكي
ملفينا من ضهور,ملفينا من ضهور
الى حبييتي اجنني جبيلي المحترمه,الى حبيتبي اجنني جبيلى المحترمه
الشوير,الشور
تحية صادقه,تحيه صادقه
من بعد السلام عليكم والسوال عنكم عساكم بخير انتم وعيالكم,منا بد الم علبكم والسوال عنكم عساكم بخير انتم ومالكم
وتحفا بكم كتابي هاذه وانتم هادين البال مع سلامة العيال,وتحضا بلم كتا بي هاذه وانتم هادين البال مع لسرالة العبال
واذا تشرفتم بالسؤال عنا الحمدلله صحتنا جيده لم ينقص,واذا تشرفتكم بالدال عنا الحهدلا صحتنا جيده لم بنقص
علينا سوا مشاهدتكم فقط وبعد ارسلتى لنا بان مرادكم تحضرو,علنا سوا مشاهدتكم فقط وبعد ارسلتي لنا بان مرادكم تحضرد
الى لبنان في الصفيه ونحنا لحد الأن بانتظاركم لأن اجاء,لو لبنان في الصفيه ونحنا لحد الآن بانتضاركم لأن اجاء
كثيرن من اللبنينه وانتم لم حضرتو فصرنا بانشغال بال,كيثرذ من اللبنينه وانتم لم ضرتو فصرنا بانشغال بال
ي. م. ي. رسالة في ١١ كانون الاول ١٩٥٩,ي٤ -م بي. رسالة في ١١ كلنون الاول ٩٥
النهار مسرورين بذالك لانهما يخبران على سلامتكم,النهاد مرورين بذالك لانهما يخبران على سلامتكم
جميعاً انت والعائلة الكريمة تسألنا عن اسم اختي,جميعاً انت والعائلة الكريمة تسألنا عن اسم اختي
الصغيرة لا اسمها جورجت ثم اخبركم ام عن,الصغيرة لا اسمها جورهت ثم اخركم ام عن
ما جد عندنا ان عمي بطرس خبره صحيح والعروس,احد عندنا ان عمي بطرس خبره صميح والعرف
من تنورين من بيت حرب اسمها عفاف الله يوفقه.,من تنورين من بيت طرب اسمها عفاف الله يوفقه.
خالي ميك مهتم بانواع ان يعمل متله وعمتي,خالي ميك مهنم بانواع ان يعمل متله وعمتي
الراهبة ستحضر في العيد رسلنا لها مكتوب من جدي,الراية ستحضر في العيد رسلنا لها مكتوب من جري
مع خالي يعقوب سيذهب غداً الى حمص وفي أول,عع حالي يعقوب سيذهب غراً الى حمص وفي اول
هذه الجمعه نطرو حمص لانه شحن بحص الى,هذه الجمعة نظرها  لمص لانها شمن بحص الى
هناك وأخوتي يذهبون الى مدرسة الراهبات,هناك واخوتي يذهبون الى مدرسة الراحبات
عمي العزيز او اعيدك بها هذا المكتوب:,عمي العزيز اواعيدك بها هذا المكتوب:
عمي العزيز اعزك الرب بعد تقبيل يديكم والسؤال عن صحتكم ان,عمي العزيز اعذك الرب بعد تقبييل يويكم السوؤال صحتكم ان
شاء الرب ان تكونوا في تمام الصحة مع عائلتكم الكريمة من,ثاء الرب ان تكونوا في تمام الصمة مع عائلتكم الكرييمة من
جهتنا الحمد لله نحن جميعاً بكل صحة الجربق على,بهتنا الحمدلله نحن جميعاً بكل صحة وسيدي الجدبق على
فراشه لا ينفعنا سوى مشاهدتكم يخبر وقد فرحنا بقولكم,فراشه لا ينفعنا سوى مشاهدتكم يخبر وقرافر حنا بقولكم
انكم ستحضر في الصيف القادم ولاكن السفر يكلفكم الكثير من,لكم ستحضر في الصيف القادم ولا كن السفر يكلفكم كثير م
الدراهم وبعدكم مغلبون وصل منكم رساله باسم سيدي,الدراهم وبعدكم مقلبون وحل منكم رسالة باسم سيدي
الوالد اول امس ورسالة باسم سيدي الجد في هذا,الوالد اول امس ورسالة باسم سيدي الجد في هذا
بالصحة عليكم ينعاد,بالصمة عليكم ينعاد
يا مار جرجسنا الشهيد,يا ماد جرجسنا الشهيد
احرس عمي كان بتريد,احرس عميي كان بتريك
انت البطل الصنديد,انت البطل الصنديد
وفي يدك رمح البولاد,وفي يدك رجح البعر ل.
يا مار يوسف ضيعتنا,يا صار يوسف حيعتنا
سلمناك حمايتنا احرس كامل عيلتنا,لمناك حمايتنا احرس كاهل عيلتنا
بحياتك قراب وبعداد,بميعاتك هابوبعد
وابهج عيد الميلاد,وابهج عيد الميلا
رب السما يخليكم,ربالسما يخليكم
