ImageID,Label,Notes,CER,GroundTruth,Prediction,ImagePath,Timestamp,Reviewer
train_005311,Script mismatch (non-Arabic),,3.0,1,nan,../data/muharaf_prepared_resized/train/train_005311.png,2025-12-24T18:51:38,Sana
train_005097,Script mismatch (non-Arabic),,3.0,1,nan,../data/muharaf_prepared_resized/train/train_005097.png,2025-12-24T18:51:48,Sana
train_005619,Script mismatch (non-Arabic),,3.0,1,nan,../data/muharaf_prepared_resized/train/train_005619.png,2025-12-24T18:52:04,Sana
train_005454,Script mismatch (non-Arabic),,3.0,1,nan,../data/muharaf_prepared_resized/train/train_005454.png,2025-12-24T19:23:27,Sana
train_004306,Script mismatch (non-Arabic),,3.0,1,nan,../data/muharaf_prepared_resized/train/train_004306.png,2025-12-24T19:23:43,Sana
train_014515,Script mismatch (non-Arabic),,2.0,1,١١,../data/muharaf_prepared_resized/train/train_014515.png,2025-12-24T19:24:25,Sana
train_007343,Script mismatch (non-Arabic),,1.5,26,nan,../data/muharaf_prepared_resized/train/train_007343.png,2025-12-24T19:24:28,Sana
train_014083,Script mismatch (non-Arabic),,1.5,26,nan,../data/muharaf_prepared_resized/train/train_014083.png,2025-12-24T19:24:29,Sana
train_010108,Irrelevant / signature,,1.0,مطانيوس سركىس,nan,../data/muharaf_prepared_resized/train/train_010108.png,2025-12-24T19:26:13,Sana
train_014627,Script mismatch (non-Arabic),,1.0,3,3-,../data/muharaf_prepared_resized/train/train_014627.png,2025-12-24T19:26:37,Sana
train_020259,Wrong transcription,,1.0,3,٢,../data/muharaf_prepared_resized/train/train_020259.png,2025-12-24T19:27:10,Sana
train_017415,Script mismatch (non-Arabic),,1.0,1,١,../data/muharaf_prepared_resized/train/train_017415.png,2025-12-24T19:27:23,Sana
train_016538,Script mismatch (non-Arabic),,1.0,1,٣,../data/muharaf_prepared_resized/train/train_016538.png,2025-12-24T19:27:32,Sana
train_000385,Script mismatch (non-Arabic),,1.0,(1),١٦٦,../data/muharaf_prepared_resized/train/train_000385.png,2025-12-24T19:27:35,Sana
train_017168,Script mismatch (non-Arabic),,1.0,11,١١,../data/muharaf_prepared_resized/train/train_017168.png,2025-12-24T19:27:42,Sana
train_000400,Script mismatch (non-Arabic),,1.0,(1),nan,../data/muharaf_prepared_resized/train/train_000400.png,2025-12-24T19:27:49,Sana
train_017623,Script mismatch (non-Arabic),,1.0,11,١١,../data/muharaf_prepared_resized/train/train_017623.png,2025-12-24T19:28:23,Sana
train_008165,Script mismatch (non-Arabic),,1.0,1,٦,../data/muharaf_prepared_resized/train/train_008165.png,2025-12-24T19:28:44,Sana
train_005517,Script mismatch (non-Arabic),,1.0,1,١,../data/muharaf_prepared_resized/train/train_005517.png,2025-12-24T19:28:45,Sana
train_014360,Script mismatch (non-Arabic),,1.0,3,33,../data/muharaf_prepared_resized/train/train_014360.png,2025-12-24T19:28:48,Sana
train_015477,Script mismatch (non-Arabic),,1.0,3,٥,../data/muharaf_prepared_resized/train/train_015477.png,2025-12-24T19:29:07,Sana
train_015439,Irrelevant / signature,,1.0,رئيس يوسف زينه,nan,../data/muharaf_prepared_resized/train/train_015439.png,2025-12-24T19:29:16,Sana
train_003871,Script mismatch (non-Arabic),,1.0,50,٥,../data/muharaf_prepared_resized/train/train_003871.png,2025-12-24T19:29:23,Sana
train_011314,Wrong transcription,,1.0,التاريخ,التاريخ الجمعة,../data/muharaf_prepared_resized/train/train_011314.png,2025-12-24T19:29:33,Sana
train_004597,Script mismatch (non-Arabic),,1.0,1,1٨,../data/muharaf_prepared_resized/train/train_004597.png,2025-12-24T19:29:50,Sana
train_016087,Script mismatch (non-Arabic),,1.0,3,3٥,../data/muharaf_prepared_resized/train/train_016087.png,2025-12-24T19:29:52,Sana
train_003405,Irrelevant / signature,,1.0,الداعى,nan,../data/muharaf_prepared_resized/train/train_003405.png,2025-12-24T19:30:17,Sana
train_011785,Script mismatch (non-Arabic),,1.0,4/2,nan,../data/muharaf_prepared_resized/train/train_011785.png,2025-12-24T19:30:30,Sana
train_005173,Script mismatch (non-Arabic),,1.0,1,١,../data/muharaf_prepared_resized/train/train_005173.png,2025-12-24T19:30:50,Sana
train_014454,Wrong transcription,,1.0,11,١١,../data/muharaf_prepared_resized/train/train_014454.png,2025-12-24T19:31:21,Sana
train_006164,Script mismatch (non-Arabic),,1.0,3,33,../data/muharaf_prepared_resized/train/train_006164.png,2025-12-24T19:31:24,Sana
train_006836,Script mismatch (non-Arabic),,1.0,11,١٨,../data/muharaf_prepared_resized/train/train_006836.png,2025-12-24T19:31:40,Sana
train_014221,Script mismatch (non-Arabic),,1.0,1,٥,../data/muharaf_prepared_resized/train/train_014221.png,2025-12-24T19:31:47,Sana
train_017923,Wrong transcription,,0.8,اسعد غبريل,ع ع,../data/muharaf_prepared_resized/train/train_017923.png,2025-12-24T19:33:31,Sana
