GroundTruth,Prediction,CER,WER
وظاهر أنه كان # عالماً بأحوال الهند وشواطئ أفريقية الشرقية، ولعله,وظاهر أنه كان # عالماً بأحوال الهند وشواطئ أفريقية الشرقية، ولعله,0.0,0.0
التي اصابتها عبر التاريخ,التي اصابتها عبر التاريخ,0.0,0.0
إرتفاعاً ملحوظاً في معدلات درجه كوكب الأرض كانت نتيجتها,إرتفاعاً ملحوظاً في معدلات درجه كوكب الأرض كانت نتيجتها,0.0,0.0
بين الخطين في القرن العشرين ،,بين الخطين في القرن العشرين ،,0.0,0.0
بهذا الأسلوب أقام المعهد في الأشهر الأخيرة من عام الفين وثمانية دورات في,بهذا الأسلوب أقام المعهد في الأشهر الأخيرة من عام الفين وثمانية دورات في,0.0,0.0
تستطيع أن ترفع من درجة تعامل الانسان مع ما يحيط به في الكون.,تستطيع أن ترفع من درجة تعامل الانسان مع ما يحيط به في الكون.,0.0,0.0
والظاهر إن البوادي كانت منازل طيبة للثعابين . وقد تذمر الأسرائيليون من,والظاهر إن البوادي كانت منازل طيبة للثعابين . وقد تذمر الأسرائيليون من,0.0,0.0
حالات ريعية، تحولت ، بالتدريج إلى قوى حقيقية للجمود . هذا بالإضافة,حالات ريعية، تحولت ، بالتدريج إلى قوى حقيقية للجمود . هذا بالإضافة,0.0,0.0
لأن الكوارث الطبيعية باتت من أهم الأخطار التي تواجه الحياة على سطح,لأن الكوارث الطبيعية باتت من أهم الأخطار التي تواجه الحياة على سطح,0.0,0.0
ما يتعلق باستخدام الأسمدة العضوية في # الأنتاج الزراعي ، و,ما يتعلق باستخدام الأسمدة العضوية في # الأنتاج الزراعي ، و,0.0,0.0
الملايين من الأشجار وتفشي الأوبئة والأمراض,الملايين من الأشجار وتفشي الأوبئة والأمراض,0.0,0.0
يعتبر إهداراً لهذه المادة الثمينة التي يمكن أن يستخرج منها العديد من المنتجات,يعتبر إهداراً لهذه المادة الثمينة التي يمكن أن يستخرج منها العديد من المنتجات,0.0,0.0
إن هذه الأنهار وأمثالها التي يشير إليها المؤلفون اليونان والرومان،,إن هذه الأنهار وأمثالها التي يشير إليها المؤلفون اليونان والرومان،,0.0,0.0
كان تاجرا من التجار الذين كانوا يطرفون في هذه الأنحاء للاتجار، ولم,كان تاجرا من التجار الذين كانوا يطرفون في هذه الأنحاء للاتجار، ولم,0.0,0.0
ان التزايد المستمر في استهلاك الطاقة والذي يؤدي إلى ارتفاع في تركيزات,ان التزايد المستمر في استهلاك الطاقة والذي يؤدي إلى ارتفاع في تركيزات,0.0,0.0
مختلفة مثل الكبريت والنيتروجين والرحاص وغيرها علاوة على غاز ثنائي,مختلفة مثل الكبريت والنيتروجين والرحاص وغيرها علاوة على غاز ثنائي,0.0,0.0
آثار الجفاف.,آثار الجفاف.,0.0,0.0
طاقة الرياح : حيث يتم تحويل الرياح الى طاقة كهربائية,طاقة الرياح : حيث يتم تحويل الرياح الى طاقة كهربائية,0.0,0.0
على القطاع الفلاحي ، الذي يبقى بدوره رهينا بالتقلبات المناخية . أما بخصو ص,على القطاع الفلاحي ، الذي يبقى بدوره رهينا بالتقلبات المناخية . أما بخصو ص,0.0,0.0
تدعى اللاجئين البيئيين مما يضيف أعباء إضافية على,تدعى اللاجئين البيئيين مما يضيف أعباء إضافية على,0.0,0.0
أما الكروم، فقد غرست في مناطق من الجزيرة اشتهرت وعرفت,أما الكروم، فقد غرست في مناطق من الجزيرة اشتهرت وعرفت,0.0,0.0
تلويثاً للبيئة وأسهلها استعمالاً. وهناك مصادر طبيعية أخرى للطاقة يمكن,تلويثاً للبيئة وأسهلها استعمالاً. وهناك مصادر طبيعية أخرى للطاقة يمكن,0.0,0.0
ولم تمنع النزعة الأخوية بين رؤساء نقابات الحرف أن يكون فيها درجات متفاوتة في,ولم تمنع النزعة الأخوية بين رؤساء نقابات الحرف أن يكون فيها درجات متفاوتة في,0.0,0.0
على عدن عدد من الأودية الجافة يظهر أنها كانت مسايل مياه، وأنها من,على عدن عدد من الأودية الجافة يظهر أنها كانت مسايل مياه، وأنها من,0.0,0.0
بعد جيل ، ويشمل الفنون القولية مثل الحكاية الشعبية ، والأغاني الشعبية ،,بعد جيل ، ويشمل الفنون القولية مثل الحكاية الشعبية ، والأغاني الشعبية ،,0.0,0.0
الخمس التي تتكون منها الطلعة,الخمس التي تتكون منها الطلعة,0.0,0.0
أوكسيد الكربون إلى الجو.,أوكسيد الكربون إلى الجو.,0.0,0.0
"""الربع الخالي"" # لخلوها من الناس.","""الربع الخالي"" # لخلوها من الناس.",0.0,0.0
درجة الحرارة في مواسم # الشتاء خلال الربع قرن الأخير إرتفعت بمعدل,درجة الحرارة في مواسم # الشتاء خلال الربع قرن الأخير إرتفعت بمعدل,0.0,0.0
وتعد المصادر المائيه بكل أنواعها ومحتوياتها من الكائنات الحية,وتعد المصادر المائيه بكل أنواعها ومحتوياتها من الكائنات الحية,0.0,0.0
المناطق الجافة إلى المناطق شبه الجافة، وزحف المناطق,المناطق الجافة إلى المناطق شبه الجافة، وزحف المناطق,0.0,0.0
والإنسانية واللغات والعلاقات الدولية وتمنح درجة البكالوريوس في,والإنسانية واللغات والعلاقات الدولية وتمنح درجة البكالوريوس في,0.0,0.0
وعلى الرغم من هذه المشاركة الفعالة للمعماريين على مدى السنوات الماضية في,وعلى الرغم من هذه المشاركة الفعالة للمعماريين على مدى السنوات الماضية في,0.0,0.0
يدخل الكربون كمكون اساسي في التركيب الكيميائي للجزيئات,يدخل الكربون كمكون اساسي في التركيب الكيميائي للجزيئات,0.0,0.0
وذلك لانه يساعد على نمو النباتات بشكل أسرع لاعتمادها عليه في,وذلك لانه يساعد على نمو النباتات بشكل أسرع لاعتمادها عليه في,0.0,0.0
بها العلماء فيما بعد بأن العصور الجليدية تحصل حين يتغير محور,بها العلماء فيما بعد بأن العصور الجليدية تحصل حين يتغير محور,0.0,0.0
إلا ليلة أو ليلتين حتى ترى السفلى ملآنة دهناً . واعتبر أيضاً ذلك بالملح,إلا ليلة أو ليلتين حتى ترى السفلى ملآنة دهناً . واعتبر أيضاً ذلك بالملح,0.0,0.0
ما يجعل درجة الحرارة في هذه الطبقة مرتفعة وتقل بها كثافة,ما يجعل درجة الحرارة في هذه الطبقة مرتفعة وتقل بها كثافة,0.0,0.0
