ImageID,GroundTruth,Prediction,CER,WER
Infiraji_3.pdf_page_13_line_007,تَمْکَرْسࣸورَادَڢَاتِحَابَا,تَمْکَرْسࣸورَادَڢَاتِحَابَا,0.0,0.0
Infiraji_12.pdf_page_10_line_006,بَاطَࢽْ ثَمَيࣸومَرَرْڧِبَابَا,بَاطَࢽْ ثَمَيࣸومَرَرْڧِبَابَا,0.0,0.0
Nana_Asmāʾu_The_Absolute_Truth_1_Nana_Asmāʾu_Tabbat_Haqiqan_1.pdf_page_10_line_015,20,20,0.0,0.0
Infiraji_7.pdf_page_14_line_017,14,14,0.0,0.0
Infiraji_8.pdf_page_9_line_006,بَيْکَيْ غَاشِࢽْ غِرَرْإِدࣸوبَا,بَيْکَيْ غَاشِࢽْ غِرَرْإِدࣸوبَا,0.0,0.0
Infiraji_3.pdf_page_10_line_009,تَمْکَرْخَيْضَادَجَࢽَّبَابَا,تَمْکَرْخَيْضَادَجَࢽَّبَابَا,0.0,0.0
Infiraji_8.pdf_page_8_line_008,يَاحَࢽَاکࣸ دَسࣸࢽْ کࣸطِࢽٜيٰ کࣸࢽْ هَلَّکَ ذَاکࣸ ڧࣸوࢽٜيٰ,يَاحَࢽَاکࣸ دَسࣸࢽْ کࣸطِࢽٜيٰ کࣸࢽْ هَلَّکَ ذَاکࣸ ڧࣸوࢽٜيٰ,0.0,0.0
The_Glorious_Majidu_Infiraji_1.pdf_page_1_line_002,وَاڧَرْمَجِيدࣸ,وَاڧَرْمَجِيدࣸ,0.0,0.0
Infiraji_8.pdf_page_8_line_006,بَتَ بَرْکࣸ کࣸࢽٜيٰمِي لَاخِرَابَا,بَتَ بَرْکࣸ کࣸࢽٜيٰمِي لَاخِرَابَا,0.0,0.0
MAF_286.pdf_page_9_line_010,بَسࣸ سَامࣸ حࣸجَّ بَاغَبَرْدٜࢽْ مࣸحَمَّدࣸ ؞  سَيْ کࣸمَ أَڧࣸوࢽَاسࣸ دَسࣸکَڧِ مࣸحَمَّدَا,بَسࣸ سَامࣸ حࣸجَّ بَاغَبَرْدٜࢽْ مࣸحَمَّدࣸ ؞  سَيْ کࣸمَ أَڧࣸوࢽَاسࣸ دَسࣸکَڧِ مࣸحَمَّدَا,0.0,0.0
Infiraji_5.pdf_page_12_line_016,10,10,0.0,0.0
Infiraji_11.pdf_page_13_line_016,12,12,0.0,0.0
Infiraji_12.pdf_page_18_line_003,دَسَࢽِࢽْ وَايَࢽْسࣸ بَابَعَابَا,دَسَࢽِࢽْ وَايَࢽْسࣸ بَابَعَابَا,0.0,0.0
Infiraji_4.pdf_page_4_line_013,اَلْخَيْرِࢽَابَيَيْ يَوَابَا,اَلْخَيْرِࢽَابَيَيْ يَوَابَا,0.0,0.0
Nana_Asmāʾu_The_Absolute_Truth_1_Nana_Asmāʾu_Tabbat_Haqiqan_1.pdf_page_9_line_016,19,19,0.0,0.0
Infiraji_3.pdf_page_9_line_017,7,7,0.0,0.0
Infiraji_4.pdf_page_1_line_005,بِإِذْࢽِ مࣸوَلِّڢࣸ هَذَا,بِإِذْࢽِ مࣸوَلِّڢࣸ هَذَا,0.0,0.0
Infiraji_4.pdf_page_22_line_006,بَعَ سَابَ غَࢽِࢽْ سࣸࢽَاذࣸوَابَا,بَعَ سَابَ غَࢽِࢽْ سࣸࢽَاذࣸوَابَا,0.0,0.0
Infiraji_5.pdf_page_9_line_017,7,7,0.0,0.0
Infiraji_4.pdf_page_10_line_004,أَيْ تࣸࢽْ بَعَجٜيٰ غَکَوْثَرَابَا,أَيْ تࣸࢽْ بَعَجٜيٰ غَکَوْثَرَابَا,0.0,0.0
Infiraji_4.pdf_page_3_line_014,دࣸکْ أَبِࢽْدَمࣸتࣸمْ يَرِسْکَا  شِي مَأَوْࢽِي ذَاشِ طَوْکَا,دࣸکْ أَبِࢽْدَمࣸتࣸمْ يَرِسْکَا  شِي مَأَوْࢽِي ذَاشِ طَوْکَا,0.0,0.0
Infiraji_8.pdf_page_15_line_015,دَسَرْڧَابَادَکࣸورࣸوَابَا,دَسَرْڧَابَادَکࣸورࣸوَابَا,0.0,0.0
Infiraji_4.pdf_page_20_line_012,بَسࣸ غَسْکَتَ ࢽَامࣸ اَلࢽَّبِي بَا,بَسࣸ غَسْکَتَ ࢽَامࣸ اَلࢽَّبِي بَا,0.0,0.0
Infiraji_11.pdf_page_11_line_012,کَغَ کَلْمَابَاتَغَرْدَمَابَا,کَغَ کَلْمَابَاتَغَرْدَمَابَا,0.0,0.0
Infiraji_10.pdf_page_8_line_018,7,7,0.0,0.0
Infiraji_7.pdf_page_8_line_016,دوب,دوب,0.0,0.0
Infiraji_8.pdf_page_24_line_009,سࣸکَ سَࢽْ بَاذَاسࣸ دَوَّمَابَا,سࣸکَ سَࢽْ بَاذَاسࣸ دَوَّمَابَا,0.0,0.0
Infiraji_3.pdf_page_9_line_009,ࢽَمَالِکࣸ بَادَغَوْغَوَابَا,ࢽَمَالِکࣸ بَادَغَوْغَوَابَا,0.0,0.0
Infiraji_5.pdf_page_5_line_003,دَسࣸکَيْ مَسَ بَاࢽَشِرْيࣸوَابَا,دَسࣸکَيْ مَسَ بَاࢽَشِرْيࣸوَابَا,0.0,0.0
Infiraji_10.pdf_page_7_line_014,تࣸوحَکَࢽَࢽْ مَّثٜيٰ کࣸومِي ݣٜࢽْتَا  إِࢽْ دَيْ بَاتَ حَلِي دَࢽَغَرْتَا,تࣸوحَکَࢽَࢽْ مَّثٜيٰ کࣸومِي ݣٜࢽْتَا  إِࢽْ دَيْ بَاتَ حَلِي دَࢽَغَرْتَا,0.0,0.0
Infiraji_5.pdf_page_8_line_016,6,6,0.0,0.0
Infiraji_7.pdf_page_2_line_010,کَتࣸࢽَابَاذَامࣸ دَوَّمَابَا,کَتࣸࢽَابَاذَامࣸ دَوَّمَابَا,0.0,0.0
Infiraji_9.pdf_page_12_line_014,10,10,0.0,0.0
Infiraji_5.pdf_page_2_line_006,الکِتَابࣸ الْحَاجِ,الکِتَابࣸ الْحَاجِ,0.0,0.0
Infiraji_4.pdf_page_6_line_013,دَسࣸکٜيٰ حَطٜيٰ غَاشِ بَيْهَطٜيٰبَا,دَسࣸکٜيٰ حَطٜيٰ غَاشِ بَيْهَطٜيٰبَا,0.0,0.0
Infiraji_4.pdf_page_1_line_007,مَالَمْ عَلِيّࣸ ࢽَمَࢽْغِ,مَالَمْ عَلِيّࣸ ࢽَمَࢽْغِ,0.0,0.0
Infiraji_6.pdf_page_15_line_012,أَذࣸبَامَتَ بَادَتَاڧِيَابَا,أَذࣸبَامَتَ بَادَتَاڧِيَابَا,0.0,0.0
Infiraji_8.pdf_page_29_line_008,دࣸࢽْ يَکَيْ مَࢽْذࣸويَغَࢽْسࣸ  ࢽَࢽْ جَهَࢽَّمَ سَيْتَ بَرْسࣸ,دࣸࢽْ يَکَيْ مَࢽْذࣸويَغَࢽْسࣸ  ࢽَࢽْ جَهَࢽَّمَ سَيْتَ بَرْسࣸ,0.0,0.0
