ImageID,Label,Notes,CER,GroundTruth,Prediction,ImagePath,Timestamp,Reviewer
train_017496,Script mismatch (non-Arabic),,3.0,5,,../data/muharaf_prepared_resized/train/train_017496.png,2025-11-26T19:51:03,Sana
train_017538,Script mismatch (non-Arabic),,3.0,7,,../data/muharaf_prepared_resized/train/train_017538.png,2025-11-26T19:51:06,Sana
train_014271,Script mismatch (non-Arabic),,3.0,X,,../data/muharaf_prepared_resized/train/train_014271.png,2025-11-26T19:51:20,Sana
train_017559,Script mismatch (non-Arabic),,3.0,8,,../data/muharaf_prepared_resized/train/train_017559.png,2025-11-26T19:51:22,Sana
train_019397,Script mismatch (non-Arabic),,3.0,A,,../data/muharaf_prepared_resized/train/train_019397.png,2025-11-26T19:51:25,Sana
train_019075,Script mismatch (non-Arabic),,3.0,2,,../data/muharaf_prepared_resized/train/train_019075.png,2025-11-26T19:51:29,Sana
train_010667,Script mismatch (non-Arabic),,3.0,K,,../data/muharaf_prepared_resized/train/train_010667.png,2025-11-26T19:51:35,Sana
train_017582,Script mismatch (non-Arabic),,3.0,9,,../data/muharaf_prepared_resized/train/train_017582.png,2025-11-26T19:51:47,Sana
train_016737,Valid but hard,,1.5,صح,,../data/muharaf_prepared_resized/train/train_016737.png,2025-11-26T19:52:02,Sana
train_010766,Script mismatch (non-Arabic),,1.5,M.,,../data/muharaf_prepared_resized/train/train_010766.png,2025-11-26T19:52:08,Sana
train_003763,Irrelevant / signature,,1.0,أسيرة العطف مرغريت الحداد,,../data/muharaf_prepared_resized/train/train_003763.png,2025-11-26T19:52:20,Sana
train_016685,Irrelevant / signature,,1.0,كاتب حضرمخايل الحاج بترومين,,../data/muharaf_prepared_resized/train/train_016685.png,2025-11-26T19:52:22,Sana
train_003889,Script mismatch (non-Arabic),,1.0,59,0,../data/muharaf_prepared_resized/train/train_003889.png,2025-11-26T19:52:30,Sana
train_001151,Valid but hard,,1.0,الحاكم,,../data/muharaf_prepared_resized/train/train_001151.png,2025-11-26T19:52:48,Sana
train_016473,Irrelevant / signature,,1.0,عضو انطوان طربيه,,../data/muharaf_prepared_resized/train/train_016473.png,2025-11-26T19:52:53,Sana
train_006264,Irrelevant / non-text,,1.0,ل,6,../data/muharaf_prepared_resized/train/train_006264.png,2025-11-26T19:52:57,Sana
train_013234,Script mismatch (non-Arabic),,1.0,83,5,../data/muharaf_prepared_resized/train/train_013234.png,2025-11-26T19:53:01,Sana
train_015836,Irrelevant / signature,,1.0,شهد بذلك مدونها العريجي,,../data/muharaf_prepared_resized/train/train_015836.png,2025-11-26T19:53:35,Sana
train_001689,Script mismatch (non-Arabic),,1.0,FA Wayne,Bo,../data/muharaf_prepared_resized/train/train_001689.png,2025-11-26T19:53:44,Sana
train_015855,Irrelevant / signature,,1.0,سَمعان سَليمان داود صورات,,../data/muharaf_prepared_resized/train/train_015855.png,2025-11-26T19:53:49,Sana
train_013664,Irrelevant / signature,,1.0,رئىس ىعوم دىب العارح,,../data/muharaf_prepared_resized/train/train_013664.png,2025-11-26T19:54:05,Sana
train_016447,Irrelevant / non-text,,1.0,شيخ قرية اسمر جبيل,,../data/muharaf_prepared_resized/train/train_016447.png,2025-11-26T19:54:18,Sana
train_013642,Irrelevant / signature,,1.0,بلدية كفرشيما رئىس ىعوم دىب العارح,,../data/muharaf_prepared_resized/train/train_013642.png,2025-11-26T19:54:28,Sana
train_013561,Irrelevant / signature,,1.0,رىس ابراهىم الحىاط,ي,../data/muharaf_prepared_resized/train/train_013561.png,2025-11-26T19:54:35,Sana
train_001788,Irrelevant / signature,,1.0,جرجي دمتري سرسق,ح,../data/muharaf_prepared_resized/train/train_001788.png,2025-11-26T19:54:39,Sana
train_015890,Irrelevant / signature,,1.0,كاتب طوبيا حنا رزق عبدللى,,../data/muharaf_prepared_resized/train/train_015890.png,2025-11-26T19:54:44,Sana
train_015903,Valid but hard,,1.0,الوكيل الرسمي,,../data/muharaf_prepared_resized/train/train_015903.png,2025-11-26T19:55:10,Sana
train_008739,Irrelevant / signature,,1.0,هنا ادرس الياس بطرس ابراهيم بطرس,,../data/muharaf_prepared_resized/train/train_008739.png,2025-11-26T19:55:18,Sana
