CER,GroundTruth,ImageID,ImagePath,Label,Notes,Prediction,Timestamp
3.0,5,train_017496,../data/muharaf_prepared_resized/train/train_017496.png,Script mismatch (non-Arabic),,,2025-11-26T19:51:03
3.0,7,train_017538,../data/muharaf_prepared_resized/train/train_017538.png,Script mismatch (non-Arabic),,,2025-11-26T19:51:06
3.0,X,train_014271,../data/muharaf_prepared_resized/train/train_014271.png,Script mismatch (non-Arabic),,,2025-11-26T19:51:20
3.0,8,train_017559,../data/muharaf_prepared_resized/train/train_017559.png,Script mismatch (non-Arabic),,,2025-11-26T19:51:22
3.0,A,train_019397,../data/muharaf_prepared_resized/train/train_019397.png,Script mismatch (non-Arabic),,,2025-11-26T19:51:25
3.0,2,train_019075,../data/muharaf_prepared_resized/train/train_019075.png,Script mismatch (non-Arabic),,,2025-11-26T19:51:29
3.0,K,train_010667,../data/muharaf_prepared_resized/train/train_010667.png,Script mismatch (non-Arabic),,,2025-11-26T19:51:35
3.0,9,train_017582,../data/muharaf_prepared_resized/train/train_017582.png,Script mismatch (non-Arabic),,,2025-11-26T19:51:47
1.5,صح,train_016737,../data/muharaf_prepared_resized/train/train_016737.png,Valid but hard,,,2025-11-26T19:52:02
1.5,M.,train_010766,../data/muharaf_prepared_resized/train/train_010766.png,Script mismatch (non-Arabic),,,2025-11-26T19:52:08
1.0,أسيرة العطف مرغريت الحداد,train_003763,../data/muharaf_prepared_resized/train/train_003763.png,Irrelevant / signature,,,2025-11-26T19:52:20
1.0,كاتب حضرمخايل الحاج بترومين,train_016685,../data/muharaf_prepared_resized/train/train_016685.png,Irrelevant / signature,,,2025-11-26T19:52:22
1.0,59,train_003889,../data/muharaf_prepared_resized/train/train_003889.png,Script mismatch (non-Arabic),,0,2025-11-26T19:52:30
1.0,الحاكم,train_001151,../data/muharaf_prepared_resized/train/train_001151.png,Valid but hard,,,2025-11-26T19:52:48
1.0,عضو انطوان طربيه,train_016473,../data/muharaf_prepared_resized/train/train_016473.png,Irrelevant / signature,,,2025-11-26T19:52:53
1.0,ل,train_006264,../data/muharaf_prepared_resized/train/train_006264.png,Irrelevant / non-text,,6,2025-11-26T19:52:57
1.0,83,train_013234,../data/muharaf_prepared_resized/train/train_013234.png,Script mismatch (non-Arabic),,5,2025-11-26T19:53:01
