GroundTruth,Prediction
أرْزِڧِࢽْمࣸ بِسَاسَعَادَا    کَى ࢽࣸڢِࢽْ کَلْمَرْشَهَادَا,أَرْزِڧِࢽْمࣸ بِسَاسَعَادَا کَيْ ࢽِڢِࢽْ کَلْمَرْشَهَادَا
غَتࣸوذࣸوࢽْ ڢࣸطࣸأَزࣸمِي ڢَحَجِّ ࢽَکَوْبِيَتْ    ࢽَشِدَّ ڢَأَلْوَضَّا تَحَيَّرْ مࣸحَمَّدَا,غَتࣸوذࣸوࢽْ ڢࣸطࣸأَزࣸمِي ڢَحَجِّ ࢽَکَوْبِيَتْ  ࢽَشِدَّڢَاَلْوَضَّاتَحَيَّرْ مࣸحَمَّدَا
ࢽى,ࢽ
کيواْبَيْغَ ڧَسَࢽْدَزَيْ تَبَابَا,کࣸواْبَيْغَ ڧَسَࢽْدَزَيْ تَبَابَا
وَطَࢽْسࣸ ذࣸڢَايَاکَيْ غَبَاکِي شِࢽَاغࣸدࣸو     ڢَتَيْمࣸسࣸ لزَّامٜيٰ ࢽَصَابࣸࢽْ مࣸحَمَّدَا,وَطَࢽْسَ ذࣸڢَايَاکَيْ غَبَاکِي شِࢽَاغࣸدࣸو   ڢَتَيْمࣸسࣸ لِزَّامٜيٰ ࢽَصَابࣸࢽْ مࣸحَمَّدَا
لِمَࢽْ ڢࣸدِرَعَلَيْهِ وࣸنَنْدٜعࣸوْحَنَّتَاطࣽ وَالاِسْلاَمࣸ,لِمَࢽْ فࣸدِرَعَلَيْهِ وࣸنَنْدٜعࣽوْحَنَّتَاطࣽ وَالاِسْلاَمࣸ
يَاىِ کٜىٰوَرْکَࢽْ شِبَرْشِ    حَࢽّࣸ مَىْ لࣸغࣸدٜىٰ دَمَاشِ,يَايِ کٜىٰوَرْکَرْشِبَرْشِ  سَࢽّࣸ مَىْ لࣸڧࣸدٜىٰ دَمَاشِ
يَايِى بࢽ کࣸوْوَࢽِࢽْسࣸ   سَيْ أکَࢽْ کَاشٜىٰ أَکَيْسࣸ,يَايِي بَࢽْ کࣸوْوَࢽِࢽْسࣸ سَيْ أَکَࢽْ کَاشٜيٰ أَکَيْسࣸ
عمرࢽ,عمرࢽ
سَىْ ࢽَاسࣸ کَکٜىٰ بِطَادَذَمْبَا,سَيْ ࢽَاسࣸ کَکٜيٰ بِطَادَذَمْبَا
ڢکيڢ يحڢى وجود الله ياعجبا ؞ لجا هد مࢽ ظلام الکڢرت ظلل,ڢکيڢ يخڢى وجودالله ياعجيا ؞ لجاهدمࢽ ظلام الکڢرت ظلل
إࢽْبَازࣸرِيَرْدَسࣸࢽْ بَرِيْبَا,إِࢽْبَازࣸرِيَزِدَسَࢽْ بَرِيبَا
غࣸومَ طَيْ ࢽٜيٰ ذَاسࣸ ࢽࣸوࢽَا   سَيسࣸ ݒࣸويٜيٰ تَرَرْدَڧَوࢽَا,غࣸومَ طَيْ ࢽٜيٰ ذَاسࣸ ࢽࣸوࢽَا  سَيْسࣸ بࣸويٜيٰ تَرَرْدَڧَوْࢽَا
سَيْ حِسَابِࢽْ تَارࣸوَࢽْتَا   کࣸوادَڧٰࣸواثٜيٰ کࣸوْادَسَاتَا,سَيْ حِسَابِࢽْ تَارࣸوَࢽْتَا کࣸوْادَڧࣸواْثٜيٰ کࣸوْادَسَاتَا
هَرْثِکِࢽْ رࣸوَࢽٜٜىٰ تَبِيشِ بَىْ هَيٰٜبَ تَمَاڧَرٜىٰشِ,هَرْثِکِࢽْ رࣸوَࢽٜيٰ تَبِيشِ  بَىْ هَيٜيٰبَ تَمَاڧَرٜىٰشِ
٢٢  شِي تَوَاضِعࣸ ࢽبى هَلِࢽْسَ   إِࢽْ يَهَࢽْغَ أَبْࢽَــسَا,١٤شِي تَوَاضِعࣸ ࢽٜى هَلِࢽْسَا   إِࢽْ يَهَࢽْغِ مࣸتࣸمْ أَبٜيٰسَا
مَکَ کࣸوْاْ مَيْ بَادَشَاوَرَابَا,مَکَ کࣸوْاْمَيْ بَادَشَاوَرَابَا
کذَا کَ دَاَلْوَضَا دَوَࢽْکَࢽْ جَࢽَابَ دࣸکْ    دَڟَرْکِࢽْ کَرِي دࣸکْ وَاجِبِيࢽَا غَأَحْمَدَا,کَذَاکَ دَاَلْوَضَّادَوَࢽْکَࢽْ جَࢽَابَ دࣸکْ  دَڟَرْکِࢽْ کَرِي دࣸکْ وَاجِيِيࢽَاغَأَحْمَدَا
دࣸࢽْ مَڢِي کَيْاوࣸࢽْ طَبِيعَا    اَلࢽَّبَاوَامَاسࣸ طَاعَا,دࣸࢽْ مَڢِي کَيْاوࣸࢽْ طَبِيعَا  اَلࢽَّبَاوَامَاسࣸ طَاعَا
عٜسَلْمِنَاڡࣽ وَالسَّلاَمࣸ عٜسَلْمِنْدٜوَسࣸنَنࣸهَا,عٜسَلْمِنَاڡࣽ وَالسَّلاَمࣸ عٜسَلْمِنْدٜوَسࣸنَنࣸهَا
مَطࣸجࣸولَ جࣸولْدٜعٜغَمْطࣸ مٜيطٜࢽْ برْطࣸڢࣸيْ نذࣸيْطࣸ يٜمْࢽٜ يࣸڢَاتࣸ لاَمْطࣸ مࣸمَايَتَا,مَطࣸجࣸوْلَ جࣸولْدٜعٜفَنْطࣸ مٜيطٜنْبࣸرْطࣸڢࣸهْ لذࣸيْطࣸ يٜمْبٜ يࣸڢَاتࣸ لاَمْطࣸ مࣸمَايَبَّا
دࣸࢽْ يَسَادࣸدَاَلْجَمَرْکَ    سَىْ يَکَࢽْ جٜىٰ بَابࣸ حَرْکَ,دࣸࢽْ يَسَادࣸدَاَلْجَمَرْکَ  سَيْ يَکَࢽْ جٜيٰ بَابࣸ حَرْکَ
ڧِي دَسࣸࢽْسࣸ أَکَࢽْ شَڧَاوَا   سࣸࢽْ بَثٜيٰ دࣸو،ِࢽْ طَغَاوَا,ڧِي دَسࣸࢽْسࣸ أَکَࢽْ شَڧَاوَا  سࣸࢽْ بَثٜيٰ دࣸومِࢽْ طَغَاوَا
مَاسࣸ جِࢽْيَاࢽَاتَکࣸوکَا غَامࣸتࣸم يَاکَاسَ حَرْکَا,مَاسࣸ جِࢽْيَاࢽَاتَکࣸوکَا غَامࣸتࣸم يَاکَاسَ حَرْکَا
