ImageID,Label,Notes,GroundTruth,Prediction,ImagePath,Timestamp,CER,WER
A_Letter_to_Malam_Ƙalarawi_Wasiƙa_zuwa_ga_Malam_Lawan_Ƙalarawi.pdf_page_1_line_001,Script mismatch (non-Arabic),,#718,#,../data/ajami-prepared-no-partial-leak/train/A_Letter_to_Malam_Ƙalarawi_Wasiƙa_zuwa_ga_Malam_Lawan_Ƙalarawi.pdf_page_1_line_001.png,2025-12-19T13:12:18,1.0,1.0
A_Letter_to_Malam_Ƙalarawi_Wasiƙa_zuwa_ga_Malam_Lawan_Ƙalarawi.pdf_page_1_line_003,Valid but hard,,بسم الله,ࢽم الله,../data/ajami-prepared-no-partial-leak/train/A_Letter_to_Malam_Ƙalarawi_Wasiƙa_zuwa_ga_Malam_Lawan_Ƙalarawi.pdf_page_1_line_003.png,2025-11-19T21:25:49,0.25,0.5
A_Letter_to_Malam_Ƙalarawi_Wasiƙa_zuwa_ga_Malam_Lawan_Ƙalarawi.pdf_page_1_line_006,Valid but hard,,اَلْحَجِّ اَلحَسَࢽْ بࣸࢽࣸ تَاتَا کَࢽࣸو اللَّهࣸمَّ أغْڢِرْهࣸ,اَلْحَجِّ الْحَسَࢽْ بࣸࢽࣸ تَاࢽَاکَࢽࣸواَللَهࣸلمَّ أَغْڢِرْهࣸ,../data/ajami-prepared-no-partial-leak/train/A_Letter_to_Malam_Ƙalarawi_Wasiƙa_zuwa_ga_Malam_Lawan_Ƙalarawi.pdf_page_1_line_006.png,2025-11-19T23:14:07,0.1379310344827586,0.7142857142857143
A_Letter_to_Malam_Ƙalarawi_Wasiƙa_zuwa_ga_Malam_Lawan_Ƙalarawi.pdf_page_1_line_015,Valid but hard,,صَوَابَ بِسْمِ اِللهِ,صوَابَ بمِ لللى,../data/ajami-prepared-no-partial-leak/train/A_Letter_to_Malam_Ƙalarawi_Wasiƙa_zuwa_ga_Malam_Lawan_Ƙalarawi.pdf_page_1_line_015.png,2025-11-18T10:40:19,0.5714285714285714,1.0
A_Person_with_a_Livelihood_Will_Never_Be_Destitute_Mai_Sanaa_Ba_Ya_Tsiya.pdf_page_1_line_001,Valid but hard,,إِسمِ هذِهِ اِلشِعْرِ بِکَلِمَةِ اِلْعَجَمِ,إِسْمِ هَزِهِ اسِّعْرَ بِکَلِْمَةِ اِلعَجْمِ,../data/ajami-prepared-no-partial-leak/train/A_Person_with_a_Livelihood_Will_Never_Be_Destitute_Mai_Sanaa_Ba_Ya_Tsiya.pdf_page_1_line_001.png,2025-11-18T10:11:45,0.2790697674418604,0.8
A_Person_with_a_Livelihood_Will_Never_Be_Destitute_Mai_Sanaa_Ba_Ya_Tsiya.pdf_page_1_line_002,Valid but hard,,مَيْ صَࢽَاعَ بَايَا ڟِيَا,مِوَ مَيْ صَࢽَاعَ بَابَاڟِيَا,../data/ajami-prepared-no-partial-leak/train/A_Person_with_a_Livelihood_Will_Never_Be_Destitute_Mai_Sanaa_Ba_Ya_Tsiya.pdf_page_1_line_002.png,2025-11-18T10:42:12,0.04,0.5
A_Person_with_a_Livelihood_Will_Never_Be_Destitute_Mai_Sanaa_Ba_Ya_Tsiya.pdf_page_1_line_006,Orientation error,,ڧَالَ عَلَيْهِ اِلصَّلاَت وَالسَّلاَمࣸ إِࢽَّ مِࢽَ الشِّعْرِ لَحِکْمَةِِ,ࢽَࢽَࢽَࢽَ َ َ لِ,../data/ajami-prepared-no-partial-leak/train/A_Person_with_a_Livelihood_Will_Never_Be_Destitute_Mai_Sanaa_Ba_Ya_Tsiya.pdf_page_1_line_006.png,2025-11-19T20:59:07,0.676056338028169,1.125
A_Person_with_a_Livelihood_Will_Never_Be_Destitute_Mai_Sanaa_Ba_Ya_Tsiya.pdf_page_1_line_007,Orientation error,,إِࢽْظࣸرْ ڢَهَذِهِ صَࢽَا عَةࣸ الْمࣸوَلِڢࣸإِࢽْ شَاءاَللَّهࣸ الْکَرِِيمِ,ࢽَࢽِࢽَࢽَّࢽَࢽَ َ َلِ,../data/ajami-prepared-no-partial-leak/train/A_Person_with_a_Livelihood_Will_Never_Be_Destitute_Mai_Sanaa_Ba_Ya_Tsiya.pdf_page_1_line_007.png,2025-11-19T21:00:57,0.7246376811594203,1.0
A_Person_with_a_Livelihood_Will_Never_Be_Destitute_Mai_Sanaa_Ba_Ya_Tsiya.pdf_page_1_line_008,Valid but hard,,ألࢽَّاشِرࣸ مࣸعَلِمࣸ أَمِيࢽࣸ ࢽَبَابَࢽْ عِࢽْدَا کَࢽࣸو يَلْوَا وَلاَيَجࣸوزࣸ طَبْعࣸهَا لِأحَدِِ إِلَّا بِإذْࢽْ,أَلࢽَّاشِرࣸمࣸعَلَّمْ أَمِيࢽࣸ ࢽَبَابَࢽْ عِࢽْدَاعَࢽࣸويَلْوَاوَلَايَجࣸوزࣸطَبْعࣸمَاغَاِحَدِ إِللَّبِذِ,../data/ajami-prepared-no-partial-leak/train/A_Person_with_a_Livelihood_Will_Never_Be_Destitute_Mai_Sanaa_Ba_Ya_Tsiya.pdf_page_1_line_008.png,2025-11-19T21:29:29,0.1886792452830188,0.8333333333333334
A_Person_with_a_Livelihood_Will_Never_Be_Destitute_Mai_Sanaa_Ba_Ya_Tsiya.pdf_page_2_line_001,Wrong transcription,بِسْمِ اِللّهِ اِلرَّحْمَࢽِ اِلرَّحِيمِ صَلَّى  اِللّهِ عَلَى سَيِّدِࢽَا مࣸحَمَّدِِ وَءالِهِ وصَحْبِهِ وَسَلِّمْ partial,بِسْمِ اِلرَّحْمَاࢽِ اِلرَّحِيمِ صَلَّى سَيِّدِࢽَا مࣸحَمَّدِِ وَءالِهِ وصَحْبِهِ وَسَلِّمْ,بِسْمِ اِللّهِ ِلرَّحْمَࢽِ لرّحِيمِ صَلَّ اللََّࣸ عَلَى سَيِّدِࢽَا مࣸحَمَّدِوَءَالِهِ وَصَحْبِهِ وَسَلِّي,../data/ajami-prepared-no-partial-leak/train/A_Person_with_a_Livelihood_Will_Never_Be_Destitute_Mai_Sanaa_Ba_Ya_Tsiya.pdf_page_2_line_001.png,2025-12-19T12:14:16,0.3555555555555555,1.1111111111111112
