GroundTruth,Prediction
لبنان في ١٧/١٠/١٩٦٠,لبنان ففي ١٧/١/٩٦
من نحوكم ونخبركي على اخر الشهر مرادي اعمل عمليه,من نحوكم وبخبركي على اخر الشهر مرادي اعمل عمليه
الى عني الثانيه وادعو لنا بالنجاح واخبرني عن اخوالك لأن,الى عني الثانيه وادعو لنا بالنجاح واخبرني عن اخوالل لأذ
لم ارسلو لنا تحارير وانا مشغول فكري فيهم لأن تعرفي,رسلا لنا تحارير وانا مشخول فكري منهم لأن تعرفي
الزعل ما يواتيني منشان عيوني خليهم خالك شار يبعتني,الزعل ما يواتيني منشان عيوني خليهم خالل شار يبعشى
لي كتاب لأن انا كاتبتو وهوا ما جاوبني والاردد بريد دكي,كتاب لأن انا لنا ثبو وهوا ما جادمني والاددد لريددكي
السلام ويرجو جوابكم على هذا المكتوب لحتى نعرف اذا وصل,السلام ديرجر جوابكم على هذا المكتوب لحتى نعرف اذا وصل
واصل ي سلامي الى اولادك واخواتك كل واحد باسمه وكل من,واهلي سلامي الى اولادل واخواتك كل داحد باسمه وكل من
يسائل عنا,يساتل عنا
المرسلي لكي خالةي,المرسلي لكي خالك
ملفينا من ضهور,ملفينا من ضهور
الى حبييتي اجنني جبيلي المحترمه,الى حبيبتي اجنني جبيلى المحترمه
الشوير,الشرر
تحية صادقه,تحيه صادقه
من بعد السلام عليكم والسوال عنكم عساكم بخير انتم وعيالكم,لد اله عليكم والسدال عنكم عساكم بخير انفتم مبالكم
وتحفا بكم كتابي هاذه وانتم هادين البال مع سلامة العيال,وتحضا بلم كتابي هاذه وانتم هادين البال مع لسلامة العبال
واذا تشرفتم بالسؤال عنا الحمدلله صحتنا جيده لم ينقص,واذا تشرفتكم بالدال عنا الحمد لله صحتنا جيده لم بنقص
علينا سوا مشاهدتكم فقط وبعد ارسلتى لنا بان مرادكم تحضرو,عليناسوا مشاهدتكم فقط وبعد ارسلتى لنا بان مرادكم تحضرو
الى لبنان في الصفيه ونحنا لحد الأن بانتظاركم لأن اجاء,لى لبنان في الصغيه ونحنا لحد الأن بانتضاركم لأن اجاء
كثيرن من اللبنينه وانتم لم حضرتو فصرنا بانشغال بال,كثيرذا من اللبنينه وانتم لم حضرتو فصرنا بانشغال بال
ي. م. ي. رسالة في ١١ كانون الاول ١٩٥٩,يابيرسالة في ١١ كلنون الاول٩٥
النهار مسرورين بذالك لانهما يخبران على سلامتكم,النهار مرورين بذالك لانهما يخبران على سلامتكم
جميعاً انت والعائلة الكريمة تسألنا عن اسم اختي,جميعاً انت والعائلة الكريمة تسألنا غن اسم اخني
الصغيرة لا اسمها جورجت ثم اخبركم ام عن,الصغيرةلا اسمها جورهت ثم اخبركم ام عن
ما جد عندنا ان عمي بطرس خبره صحيح والعروس,اجد عندنا ان عمي بطرس خبره صحيح والعرفس
من تنورين من بيت حرب اسمها عفاف الله يوفقه.,من تتورين من بيت حرب اسمها عفاف الله يوفقه.
خالي ميك مهتم بانواع ان يعمل متله وعمتي,خالي ميك مهنم بانواع ان يعمل متله وعمتي
الراهبة ستحضر في العيد رسلنا لها مكتوب من جدي,الرامة ستحفر في العيد رسلنا لها مكتوب من جدي
مع خالي يعقوب سيذهب غداً الى حمص وفي أول,مع حالي يعقوب سيذهب غراً الى مص وفي اول
هذه الجمعه نطرو حمص لانه شحن بحص الى,هذه الجمعه نظرما لمص لانا شمن بحص الى
هناك وأخوتي يذهبون الى مدرسة الراهبات,هناك وأخوتي يذهبون الى مدرسة الراهبات
عمي العزيز او اعيدك بها هذا المكتوب:,عمي العزيز (واعيدك بها فذا المكتوب:
عمي العزيز اعزك الرب بعد تقبيل يديكم والسؤال عن صحتكم ان,عمي العزيز اعزك الرب بعد تقبيل يديكم السؤل ن صحتكم ان
شاء الرب ان تكونوا في تمام الصحة مع عائلتكم الكريمة من,ثاء الرب ان تكونوا في تمام الصحة مع عائلتكم الكريمة من
جهتنا الحمد لله نحن جميعاً بكل صحة الجربق على,بهتنا الحمدلله نحن جميعاً بكل صحة وسيدي الجربق على
فراشه لا ينفعنا سوى مشاهدتكم يخبر وقد فرحنا بقولكم,فراشا لا ينفعنا سوى مشاهدتكم يخبر وقدفرحنا بقولكم
انكم ستحضر في الصيف القادم ولاكن السفر يكلفكم الكثير من,نكم ستحضر في العين القادم ولا كن السفر يكلفكم كثير من
الدراهم وبعدكم مغلبون وصل منكم رساله باسم سيدي,الدراهم وبعدكم مغلبون وصل منكم رسالة باسم سيدي
الوالد اول امس ورسالة باسم سيدي الجد في هذا,الوالد اول ام ورسالة باسم سيدي البجد في هذا
بالصحة عليكم ينعاد,بالصحه عليكم ينعاد
يا مار جرجسنا الشهيد,يا ماد جرجسنا الشهيد
احرس عمي كان بتريد,اخرس عمي كان بتريد
انت البطل الصنديد,انت البطل العنديد
وفي يدك رمح البولاد,وفي يدل رمح البولاد
يا مار يوسف ضيعتنا,يا صار يوسف ضيعتنا
سلمناك حمايتنا احرس كامل عيلتنا,لمناك حمايتنا احرس كاهل عيلننا
بحياتك قراب وبعداد,بمياتك قراب وبعدد
وابهج عيد الميلاد,وابهج عيد الميلاد
رب السما يخليكم,رب السما يخليكم
ويفرحكم بالولاد,ويظرحكم بالولاد
من خيرا تويكفيكم,من خيراتويكفيكم
رب السما يخليكم,رب السما يخليكم
شعر :,شار:
وملايكتو تحميكم,ملا يكتو تحميكم
ويرجعكم للبلاد,ديرجعكم للبلاد
عبرين في البترون ونحن ساكنين في ملك يوسف,عبرين في البرون ونحن ساكنين في ملك يوسف
ارملة بولص الاسيس.,ارملة بولص الاسيس.
وتوفى ايضاً عجيز يوسف الخوري,وتوف ايضاً عجيز يوسف الخووي
رحمهما الله,رلمهما الله.
ابن اخيك مارون,ابن اخبك مارون
